,Group name,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72
1,Large sharks,1,0.5925851,0.3290929,0.1791717,0.004138468,0.07072522,0.06756613,0,0,0,0,0.001028081,0,0.05499044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Barracudas,0.5925851,1,0.1795241,0.07377386,0.1479104,0.1449022,0.1732951,0.01829222,0,0,0,0.09752651,0,0.1203723,0,0.1113753,0,0,0,0,0,0.0859222,0.01060892,0,0,0,0,0,0,0.01269644,0,0,0.02410647,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00221521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Australian Sea Lion,0.3290929,0.1795241,1,0.8165174,0.2726195,0.546713,0.543064,0.4395649,0.4371073,0.3299802,0.3840039,0.136553,0.2082023,0.09886968,0.3667211,0.1447332,0,8.40E-08,0,0,0.3840956,0.119391,0.2840058,0,0,0,0,0,0.1839651,0.01730253,0,0.2055291,0.03506951,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003250665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Bottlenose Dolphin,0.1791717,0.07377386,0.8165174,1,0.3663369,0.7937394,0.6812137,0.7508792,0.795186,0.5793921,0.6925641,0.02878374,0.3705939,0.07441145,0.6190835,0.03099054,0.000133628,1.52E-05,6.49E-06,0,0.6690146,0.02509033,0.3739457,0,0,2.44E-06,0,2.27E-06,0.2680503,0.003635464,0,0.3324701,0.007336476,0,0,0,0,0,0,0,3.86E-05,0,0,0,0,0,0.000679639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Tailors,0.004138468,0.1479104,0.2726195,0.3663369,1,0.4862804,0.2888598,0.4730804,0.2810713,0.161344,0.4621665,0,0.1053553,0.0244179,0.4249043,0.03086068,0.02949057,0,0,0,0.2838933,0.001954162,0.1190411,0,0,0,0,0,0.1272051,0,0,0.09750596,0,0,0,0,0,0,0,0,5.75E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Cormorants,0.07072522,0.1449022,0.546713,0.7937394,0.4862804,1,0.8554172,0.8967944,0.7041647,0.434275,0.7624347,0.00229334,0.3070726,0.04717112,0.7361796,0.01018708,0.005575745,0.000227329,8.03E-05,0,0.5718552,0.000712663,0.2618357,0,0,2.26E-05,0,2.12E-05,0.3111234,0.004965895,0,0.2989781,0,7.08E-05,0.006063767,0,0,0,0,0,5.08E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Squids,0.06756613,0.1732951,0.543064,0.6812137,0.2888598,0.8554172,0.9999999,0.7059272,0.5390534,0.3437782,0.5226318,0.2514314,0.2525109,0.1327667,0.5585465,0.2893925,0.003482092,8.00E-05,0,0,0.4122444,0.2220576,0.2105359,0,0,0,0,0,0.2849591,0.03246764,0,0.2678984,0.06320825,0,1.62E-05,0,0,0,0,0,0.000201224,0,0,0,0,0,0.00582725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Australian Pelican,0,0.01829222,0.4395649,0.7508792,0.4730804,0.8967944,0.7059272,1,0.7842613,0.4461019,0.9318932,0.001327776,0.3588619,0.06952058,0.6743369,0.02981726,0.01193887,0,0,0,0.6272197,0.00199103,0.2609431,0,0,0,0,0,0.2556655,0.002755471,0,0.2900317,0,0,0.003424189,0,0,0,0,0,4.96E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Gulls and Terns,0,0,0.4371073,0.795186,0.2810713,0.7041647,0.5390534,0.7842613,1,0.8026324,0.7489442,0,0.5017194,0.03899737,0.6067629,0,0,0,0,0,0.8044665,0,0.3802203,0,0,0,0,0,0.2414946,0,0,0.3950208,0,0,0,0,0,0,0,0,2.04E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Little Penguin,0,0,0.3299802,0.5793921,0.161344,0.434275,0.3437782,0.4461019,0.8026324,1,0.4117389,0,0.465003,0.004289555,0.4001127,0,0,0,0,0,0.6680627,0,0.3271036,0,0,0,0,0,0.1766321,0,0,0.3666091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Scaly Mackerel,0,0,0.3840039,0.6925641,0.4621665,0.7624347,0.5226318,0.9318932,0.7489442,0.4117389,0.9999999,0,0.3320986,0.06614216,0.6533238,0,0,0,0,0,0.6179996,0,0.2619189,0,0,0,0,0,0.208588,0,0,0.2491222,0,0,0,0,0,0,0,0,5.26E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Small sharks,0.001028081,0.09752651,0.136553,0.02878374,0,0.00229334,0.2514314,0.001327776,0,0,0,1,0,0.2204966,0,0.8907785,0,0,0,0,0,0.8501649,0.0749851,0,0,0,0,0,0,0.1195964,0,0,0.281816,3.62E-07,0.002383129,0,0,0,0,0,0,0,0,0,0,0,0.02678976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Yellowtail Scad,0,0,0.2082023,0.3705939,0.1053553,0.3070726,0.2525109,0.3588619,0.5017194,0.465003,0.3320986,0,1,0.03142448,0.23271,0,8.43E-06,0.000141696,7.46E-05,0,0.5313739,7.74E-05,0.4929951,0.7396736,0,5.01E-05,0,4.54E-05,0.1006454,8.67E-06,0.1910663,0.2128448,0,0,0,0,0,0.2618982,0.2618982,0.4284844,0.3186311,0.2577101,0,0,0,0,0,0,0.1198926,0,0.02911193,0.08061422,0,0,0,0.04068322,0.1080077,0.2754388,0.1134073,0,0.1257983,0.119211,0,0.1189362,0,0,0.002007365,0,0,0,0,0
14,Cuttlefish,0.05499044,0.1203723,0.09886968,0.07441145,0.0244179,0.04717112,0.1327667,0.06952058,0.03899737,0.004289555,0.06614216,0.2204966,0.03142448,0.9999999,0.1364255,0.3482882,0.3055145,0.04183162,0.8175051,0.9212448,0.01971401,0.2113509,0.1575604,0.05738665,0.677615,0.6207301,0.05556699,0.1247934,0.09270535,0.1141202,0.582594,0.04367309,0.1035213,0.2190066,0.01774302,0.01119348,0.01301632,0,0,0,2.69E-05,0,0.1907007,0.7959377,0.7123032,0.4078791,0.2152862,0.1469643,0.001101596,0.02867198,7.45E-05,0,0.1183391,0.1183391,0.01259951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Trevallies,0,0,0.3667211,0.6190835,0.4249043,0.7361796,0.5585465,0.6743369,0.6067629,0.4001127,0.6533238,0,0.23271,0.1364255,1,0.088323,0.4242702,0.4664707,0.3388295,0.197573,0.5661949,0.08283453,0.2622652,0.005358462,0.0661709,0.06237245,0.2579586,0.1746658,0.2728128,0.1340254,0.05825964,0.2383858,0.03340844,0.04602317,0.07560977,0.04493004,0.05748771,0,0,0,0,0,0.0209992,0.165491,0.08860818,0.03752588,0.02526415,0.02785466,0.000101975,0.002608817,6.52E-06,0,0.01089816,0.01089816,0.001186468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Flounders,0,0.1113753,0.1447332,0.03099054,0.03086068,0.01018708,0.2893925,0.02981726,0,0,0,0.8907785,0,0.3482882,0.088323,1,0.1118864,0.1135027,0.174538,0.1564485,0,0.8541151,0.09600864,0.007511284,0.09739004,0.08873948,0.2038852,0.1670836,0.00921801,0.2213029,0.07246335,0.004207752,0.2771821,0.05255751,0.06060309,0.04602649,0.04940576,0,0,0,0,0,0.02228368,0.09604376,0.07787698,0.05402349,0.05437483,0.01373026,0.000145191,0.003830973,1.03E-05,0,0.01566237,0.01566237,0.001638308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Pink Snapper adult,0,0,0,0.000133628,0.02949057,0.005575745,0.003482092,0.01193887,0,0,0,0,8.43E-06,0.3055145,0.4242702,0.1118864,1,0.8252353,0.5802578,0.3586263,0,0.07890644,0.04433728,0.01234677,0.1429669,0.1343467,0.2466359,0.1732301,0.04068062,0.1358277,0.1368948,0.009971253,0.03811632,0.07017931,0.07212881,0.04124228,0.05417769,0,0,0,0,0,0.05087955,0.3959699,0.2245713,0.08611976,0.05435153,0.0893371,0.000234413,0.005969821,1.48E-05,0,0.02501704,0.02501704,0.00274016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Pink Snapper pre-spawner,0,0,8.40E-08,1.52E-05,0,0.000227329,8.00E-05,0,0,0,0,0,0.000141696,0.04183162,0.4664707,0.1135027,0.8252353,1,0.3565829,0.1335352,0,0.1183981,0.01497867,0,0.00806299,0.008644009,0.3712979,0.2363971,0,0.1840072,0,0,0.04509774,0.03733421,0.1087017,0.0631936,0.08207002,0,0,0,0,0,0,0.06705809,0,0,0.01620865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,King George Whiting,0,0,0,6.49E-06,0,8.03E-05,0,0,0,0,0,0,7.46E-05,0.8175051,0.3388295,0.174538,0.5802578,0.3565829,1,0.9002743,0,0.1053598,0.117823,0.0442296,0.5149427,0.4772086,0.3218037,0.2819183,0.09304006,0.2077747,0.4664674,0.0283861,0.06754321,0.1971105,0.09462278,0.05957736,0.07325676,0,0,0,0,0,0.1610523,0.8361863,0.6414492,0.3112906,0.1628232,0.1605403,0.000843735,0.02173728,5.52E-05,0,0.09036464,0.09036464,0.009746823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
