,Group name,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72
14,Cuttlefish,0,0,0,0,0.1257083,0.1342499,0.3505252,0.1342499,0.109523,0,0.05389495,0,0.06951728,1,0.05802085,0,0.9246343,0.9224791,0.05525477,0.04079602,0.3013496,0.07608528,0,0,0,0,0,0.8901324,0,0,0,0.0213527,0,0,0.001770729,0,0,0.0200546,0.03859749,0.03776034,0.1609855,0.02716434,0,0.03427994,0,0,0,0,0,0.01107591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Trevallies,0.01474338,0.01474338,0.01474338,0.01474338,0.01785114,0,0.02316686,0,0.02396093,0.01474338,0.7280203,0.02482574,0.05817506,0.05802085,1,0,0.06017393,0.06203221,0.7948737,0.8714149,0.02443633,0,9.57E-05,0,0,0,0,0.0592366,0,0,0.001200576,0.9952694,0.01719232,0.000833351,0.1704431,0.9880137,0.08607239,0.1056916,0.2549842,0.3365852,0.008902976,0.9712849,0,0.0265909,0,0.000396456,0,0,0,0.0855134,0.00016655,0,0,0.000178205,0,0,0,0,0,0,0,0,0.000108307,0,1.25E-05,0,0,0,0,0,0,0
16,Flounders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.73E-10,0,0,0,0,0,0.822464,0,0,0.1786661,7.53E-11,0,0,4.84E-06,0,0,0.9996958,0.998739,1.39E-09,0,0.9845011,0,0,0,0,0,1,0,0,0.2471538,0,0,0,0,0.9978496,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8222331,0,0,0,0,0,0,0
17,Pink Snapper adult,0.1738313,0.1738313,0.1738313,0.1738313,0.2609032,0.2534237,0.3230761,0.2534237,0.2316974,0.1738313,0,0.1832039,0.1934233,0.9246343,0.06017393,5.73E-10,1,0.9698936,0.05616506,0.03931469,0.001297884,0.1446034,0,0,0,0,2.22E-09,0.8899142,0,0.00011842,0,0.01337727,0,1.91E-09,0.001927165,0,0,0.01741259,0.03490407,0.03424481,0.02370932,0.01712685,0,0.03467771,0,0,0,0,0,0.000360041,6.06E-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Pink Snapper pre-spawner,0.187203,0.187203,0.187203,0.187203,0.07214198,0.06898832,0.3159159,0.06898832,0.06060942,0.187203,0,0.1841227,0.08066475,0.9224791,0.06203221,0,0.9698936,1,0.05536081,0.03876464,0,0.03768379,0,0,0,0,0,0.95736,0,0,0,0.01407187,0,0,0.001738003,0,0,0.01745617,0.03369053,0.03403218,0.02306621,0.01768351,0,0.03455134,0,0,0,0,0,0.000380732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,King George Whiting,0,0,0,0,0.001603119,0.001574242,0.03252765,0.001574242,0.001408259,0,0.6929228,0,0.2568901,0.05525477,0.7948737,0,0.05616506,0.05536081,1,0.7876098,0.1064694,0.000966919,0,0,0,0,0,0.05115317,0,0,0.05080037,0.7831333,0.01248084,0.000784746,0.1448343,0.7380065,0.06519693,0.1055985,0.2896352,0.3277581,0.02132154,0.7966998,0,0.161707,0,0,0,0,0,0.06805809,0.000934443,0,0,0,0.0191242,0,0,0,0,0,0,0,0.000187374,0,0,0,0,0,0.000432965,0.006378757,0.002683695,0
20,Whiting Species,0,0,0,0,0.004949247,0.005116396,0.01638365,0.005116396,0.004325409,0,0.6954331,0,0.04093842,0.04079602,0.8714149,0,0.03931469,0.03876464,0.7876098,1,0.02504491,0.002991603,0,0,0,0,0,0.03668626,0,0,0.009873489,0.8655201,0.01444772,0.000136903,0.1569749,0.8390898,0.07414844,0.2294405,0.5279979,0.3188527,0.01098372,0.87181,0,0.03622828,0,0,0.4044214,0,0,0.07398746,0.000159131,0,2.14E-07,0,0.0038109,0,0,0.4122915,0,0.4243924,0,0,0.004178679,0,0.02268223,5.09E-05,0,0,9.20E-05,0.001274295,0.000523517,0
21,Small pelagics,0,0,0,0,0.02238855,0,0.12361,0,0.03084507,0,0.1690855,0.0134175,0.1883097,0.3013496,0.02443633,0,0.001297884,0,0.1064694,0.02504491,1,0,0,0,0,0,0,0,0,0,0.005090696,0.04284621,0,0.000656634,2.71E-05,0.007311084,0,0.01348601,0.02472658,0.02661584,0.4348057,0.03833972,0,0.1058741,0,0,0,0,0,0.03628806,0.000756397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Western Australian Octopus,0,0,0,0,0.4759511,0.510015,0.03239738,0.510015,0.4145397,0,0,0,0.2623584,0.07608528,0,0,0.1446034,0.03768379,0.000966919,0.002991603,0,1,0,0,0,0,0,0.001578466,0,0,0,0,0,0,0.000533646,0,0.001529694,0.00071315,0.001012327,0.001209643,0.001545317,0,0,0.02080751,0.8159755,0,0.02562429,0,0,0,0,0,0,0,0,0,0,0,0,0.05212029,0,0,0,0,0.001084246,0,0,0,0,0,0,0
23,Grunters,0,0,0,0,0,0,5.10E-05,0,0,0,0,0,0,0,9.57E-05,0.822464,0,0,0,0,0,0,1,0,0,0.6150614,0.3075264,0,0,0,0.1480076,7.98E-05,0.8271105,0.8443664,0.4538241,7.57E-05,0.8801873,0,0,2.24E-05,0.000137835,1.39E-05,0.8224627,0,0,0.2481303,0,0,0,0.4643831,0.8341169,0,0,7.17E-06,0,0,0,0,0.07032683,0,0,0.3617914,0.009812884,0,0.8158599,0,0,0,0,0,0,0
24,Pipefishes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Gurnards,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09511337,0,0,0,0,0,0,0,0,0.1603352,0.004502998,0.8514678,0,0,0,0,0,0,0,0.01981437,0,0.00093155,0,0,0,0,0,0,0
26,Weedfish,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1786661,0,0,0,0,0,0,0.6150614,0,0,1,0.5062526,0,0,0,0.1538588,0,0.1790788,0.203504,0.9014785,0,0.2427897,0,0,0,0,0,0.1786659,0,0,0.06202597,0,0,0,0.9790998,0.1795548,0,0,0,0,0,0,0,0,0,0,0.6715921,0.009483504,0,0.1895959,0,0,0,0,0,0,0
27,Soldiers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.53E-11,2.22E-09,0,0,0,0,0,0.3075264,0,0,0.5062526,0.9999999,0,0,1.56E-05,0.7821347,0,0,0.01203525,0.6107124,0,0.03288563,0,0,0,0,0,0,0.04945343,0,0.008711042,0,0,0.1697112,0.5097222,0.02115724,0,0,0,0,0,0,0,0.6092437,0,0,0.5050946,0.05351358,0,0.09176838,0,0,0,0,0,0,0
28,PInk Snapper  juvenile,0,0,0,0,0.002597248,0.003091967,0.2984839,0.003091967,0.002241238,0,0,0,0.001308062,0.8901324,0.0592366,0,0.8899142,0.95736,0.05115317,0.03668626,0,0.001578466,0,0,0,0,0,0.9999999,0,0,0,0.01417205,0,0,0.001598564,0,0,0.01666698,0.03042103,0.03202502,0.02133629,0.01731631,0,0.03217589,0,0,0,0,0,0.000386585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Other seabirds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Rays,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.84E-06,0.00011842,0,0,0,0,0,0,0,0,0,1.56E-05,0,0,1,0,0,0,1.59E-05,0.000287834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.04E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Dragonets ,0,0,0,0,0,0,0.000636279,0,0,0,0.01623413,0,0.01195661,0,0.001200576,0,0,0,0.05080037,0.009873489,0.005090696,0,0.1480076,0,0,0.1538588,0.7821347,0,0,0,1,0.000884693,0,0.003755909,0.1772212,0.000414758,0.01001288,0.003920361,0.009996576,0.006345833,0.000590383,0.000441227,0,0.02155591,0.006089081,0.002505956,0,0,0.0504792,0.1554867,0.006537119,0,0,0,0.007327867,0,0,0,0.919682,0.00125469,0,0.2317427,0.07029534,0,0.05989901,0,0,0,0.000181047,0.002452387,0.000999535,0
32,Southern Garfish,0,0,0,0,0,0,0.0101001,0,0,0,0.7256967,0,0.02790806,0.0213527,0.9952694,0,0.01337727,0.01407187,0.7831333,0.8655201,0.04284621,0,7.98E-05,0,0,0,0,0.01417205,0,0,0.000884693,1,0.01729485,0.000768023,0.1694512,0.9927529,0.08627877,0.1049225,0.2514102,0.3353963,0.02156905,0.9697571,0,0.01844256,0,0.000329215,0,0,0,0.08722992,0.000180197,0,0,0.000149592,0,0,0,0,0,0,0,0,9.04E-05,0,1.03E-05,0,0,0,0,0,0,0
33,Wrasses,0,0,0,0,0,0,0,0,0,0,0.01193702,0,0,0,0.01719232,0.9996958,0,0,0.01248084,0.01444772,0,0,0.8271105,0,0,0.1790788,0,0,0,0,0,0.01729485,1,0.9991474,0.002839982,0.01754606,0.9880855,0.001737811,0.003996809,0.005484268,0,0.0165164,0.9996958,0,0,0.2490308,0,0,0,0.001489424,0.9983565,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8282842,0,0,0,0,0,0,0
34,Butterfishes,0,0,0,0,0,0,0.000413846,0,0,0,4.17E-05,0,0.001162232,0,0.000833351,0.998739,1.91E-09,0,0.000784746,0.000136903,0.000656634,0,0.8443664,0,0,0.203504,0.01203525,0,0,1.59E-05,0.003755909,0.000768023,0.9991474,1,0.02175667,0.000643285,0.9905489,3.81E-05,8.81E-05,0.000276161,0.001077795,0.000162276,0.9987388,0.000753343,0,0.2520107,0,0,0,0.02436041,0.9985322,0,0,5.45E-05,0,0,0,0,0,0,0,0.01579893,0.000263032,0,0.8371547,0,0,0,0,0,0,0
35,Demersal fish,0,0,0,0,0.001138466,0.000913551,0.02497341,0.000913551,0.001124979,0,0.1498343,0.000150971,0.000766038,0.001770729,0.1704431,1.39E-09,0.001927165,0.001738003,0.1448343,0.1569749,2.71E-05,0.000533646,0.4538241,0,0,0.9014785,0.6107124,0.001598564,0,0.000287834,0.1772212,0.1694512,0.002839982,0.02175667,1,0.164868,0.07322368,0.01972046,0.05371545,0.06105407,0.000526366,0.1707707,0,0.01609879,0.004355703,0.02424767,0,0,0.08172661,0.9233792,0.006990924,0,0.01505459,8.78E-05,0.000249666,0.02718215,0.001181335,0.003842222,0,0.0276098,0,0.7633149,0.01124282,0,0.04906014,0.000208964,5.07E-06,0,1.33E-05,0,0,0
36,Common Silverbelly,0,0,0,0,0,0,0.001665198,0,0,0,0.6954811,0,0.01276759,0,0.9880137,0,0,0,0.7380065,0.8390898,0.007311084,0,7.57E-05,0,0,0,0,0,0,0,0.000414758,0.9927529,0.01754606,0.000643285,0.164868,1,0.08643389,0.1010648,0.2357958,0.3206884,0.004561383,0.9524848,0,0.008260339,0,0.000308587,0,0,0,0.08555248,7.35E-05,0,0,0.000146106,0,0,0,0,0,0,0,0,8.63E-05,0,9.71E-06,0,0,0,0,0,0,0
37,Goatfishes,0,0,0,0,0,0,8.61E-05,0,0,0,0.06185996,0,0,0,0.08607239,0.9845011,0,0,0.06519693,0.07414844,0,0.001529694,0.8801873,0,0,0.2427897,0.03288563,0,0,0,0.01001288,0.08627877,0.9880855,0.9905489,0.07322368,0.08643389,1,0.008896948,0.02113106,0.02835734,0.000226171,0.08361661,0.9845004,4.28E-05,0.001751468,0.2606889,5.79E-05,0,0,0.07129443,0.9888455,0,0,1.31E-05,0,0,0,0,0,0.000112395,0,0.04357369,0.000625566,0,0.8643883,0,0,0,0,0,0,0
38,Blue Sprat,0,0,0,0,0.001179483,0.00122789,0.04347166,0.00122789,0.001030114,0,0.109525,0,0.009623471,0.0200546,0.1056916,0,0.01741259,0.01745617,0.1055985,0.2294405,0.01348601,0.00071315,0,0,0,0,0,0.01666698,0,0,0.003920361,0.1049225,0.001737811,3.81E-05,0.01972046,0.1010648,0.008896948,0.9999999,0.8168329,0.9177127,0.02078589,0.1821131,0,0.01986198,0,0,0.2787982,0,0,0.009317482,4.17E-05,0,0.02181557,0,0.001590721,0,0,0.2893635,0,0.2909642,0,0,0.002998088,0,0.01554036,0.02519966,7.49E-06,0.008175047,5.85E-05,0.000532082,0.000217925,0
39,Sandy Sprat,0,0,0,0,0.001681049,0.001592652,0.2001701,0.001592652,0.001482272,0,0.3524368,0,0.02606824,0.03859749,0.2549842,0,0.03490407,0.03369053,0.2896352,0.5279979,0.02472658,0.001012327,0,0,0,0,0,0.03042103,0,0,0.009996576,0.2514102,0.003996809,8.81E-05,0.05371545,0.2357958,0.02113106,0.8168329,1,0.7044603,0.05162574,0.3118776,0,0.05369509,0,0,0.516058,0,0,0.02181573,9.66E-05,0,0.1240038,0,0.004110002,0,0,0.5649828,0,0.5798553,0,0,0.006399692,0,0.03284945,0.01906561,3.46E-05,0.005949356,0.000179323,0.001368306,0.000586172,0
40,Pilchard,0,0,0,0,0.002002679,0.002033959,0.01737295,0.002033959,0.001753289,0,0.2757322,0,0.02537463,0.03776034,0.3365852,0,0.03424481,0.03403218,0.3277581,0.3188527,0.02661584,0.001209643,2.24E-05,0,0,0,0,0.03202502,0,0,0.006345833,0.3353963,0.005484268,0.000276161,0.06105407,0.3206884,0.02835734,0.9177127,0.7044603,0.9999999,0.0919577,0.4142629,0,0.07836666,0,9.63E-05,0,0,0,0.02932593,0.000127432,0,0,3.85E-05,0.002463772,0,0,0,0,0,0,0,4.94E-05,0,3.01E-06,0.024852,0,0.008176205,5.82E-05,0.000823145,0.000340869,0
41,Australian Herring,0,0,0,0,0.002560785,0.002544572,0.09275158,0.002544572,0.002246807,0,0.07924813,0,0.02219818,0.1609855,0.008902976,0,0.02370932,0.02306621,0.02132154,0.01098372,0.4348057,0.001545317,0.000137835,0,0,0,0,0.02133629,0,0,0.000590383,0.02156905,0,0.001077795,0.000526366,0.004561383,0.000226171,0.02078589,0.05162574,0.0919577,1,0.03739464,0,0.2099221,0,0.000598696,0,0,0,0.01620938,0.000154621,0,0,0.000232469,0,0,0,0,0,0,0,0,0.000152647,0,1.87E-05,0.000933965,0,0,0,0,0,0
