,Prey \ predator,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67
25,Gurnards,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9096816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Weedfish,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06358517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000359996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Soldiers,0,0,0,0,0,0,0,0,0,0,0,0.000389647,0,0,0,0.009857474,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004704681,0,0,0,0.01285457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,PInk Snapper  juvenile,0,0,0.5379978,18.18193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Other seabirds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Rays,0,0,0,0,0,0,0,0,0,0,0,0.02613517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Dragonets ,0,0,0,0,0,0.1046971,0,0,0,0,0,0,0,0,0,0.01004378,0.02041907,0,0,0,0,0,0,0,0,0,0,0,0,0.004763841,0,0.09799157,0,0.06757837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Southern Garfish,0,0,0,0.09030569,0.07440274,0.6303027,0.3890917,1.770098,0,1.086291,0,0,0,0.4025278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Wrasses,0,0,0,0,0,0,0.00337352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00227081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Butterfishes,0,0,0,0,0,0.04776047,0,0.05800083,0,0,0,0.004973386,0,0.2482886,0,0.006262753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007873571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Demersal fish,0,0.00095883,0.01084532,0.001977098,0,0,0.01238208,0,0,0,0,0.01045791,0,0.01239902,0,0.02584239,0,0,0,0,0,0.03116993,0.002190193,0,0,0,0,0,0,0.002265404,0,0,0.02078259,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000593482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Common Silverbelly,0,0,0,0,0,0.2864323,0.3689568,0.3971488,0,0,0,0,0,0.3695921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,Goatfishes,0,0,0,0,0,0,0.0450422,0,0,0,0,0,0,0.04660354,0,0.01283627,0,0.006797856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006125866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,Blue Sprat,0,0,0.1108921,0.1570646,0.03754555,0.2580357,0.05765463,0.3266871,0.7559976,0.6951234,0.07452104,0,0.03487832,0,0.02246437,0,0,0,0,0,0.09459387,0,0.0246316,0,0,0,0,0,0.08500126,0,0,0.07058222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,Sandy Sprat,0,0,0.06801588,0.135471,0.02439652,0.2794461,0.06243848,0.3537938,0.728836,0.501867,0.08070437,0,0.03777232,0,0.01946268,0,0,0,0,0,0.026209,0,0.05335077,0,0,0,0,0,0.0552325,0,0,0.07643873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,Pilchard,0,0,0.1202877,0.197594,0.03362539,0.4345042,0.1190115,1.146477,1.157671,0.1172699,0.2563789,0,0.0998468,0.09821897,0,0,0,0,0,0,0.05867475,0,0,0,0,0,0,0,0,0,0,0.06937945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,Australian Herring,0,0,0.09793458,0.08564344,0.7144668,0.2307508,0,1.589731,0.0262295,0,1.879863,0,0.1981342,0.3846186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,Schooling species,0,0,0,0.1147742,0.09369675,0.3111396,0.3858065,0.3751775,0.2472315,0,0.09218056,0,0.01072555,0.06957943,0,0,0,0,0,0,0.005924593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3081255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,Leatherjackets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005942005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,Other crabs,0,0,0,0.01770731,0,0.4049778,0,0,0,0,0,0,0.1063807,0,0,0,0.000143392,0.005291128,0.00799392,0,0,0.009272879,0,0,0,0.01952378,0,0.00606113,0,0.000542456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,Blue Swimmer Crab,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005240738,0.05025854,0,0,0,0.01692591,0,0,0,0,0,0.0185236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,Mantis shrimp,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3995671,0,0.01109605,0,0,0,0.1075027,0,0,0,0,0,0,0,0,0,0,0,0,0.152385,0,0.006030745,0.09772386,0,0,0,0,0,0,0,0.2428679,0,0,0,0,0,0.1319722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,Seastars,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09971517,0,0,0.1604865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07478809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,Migratory waders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,Seahorses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.828161,0,0,0,0,0,0.0139192,0,0.008438332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,Mullets,0,0,0,0.002649465,0.1083661,0.1210834,0.03605925,0.4384871,0,0,0,0,0,0.03640744,0,0.1618626,0.00434603,0,0,0,0,0.01671567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,Rabbitfish,0,0,0,0,0,0.09268645,0,0.06334153,0,0,0,0.002471373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009292427,0,0,0,0,0.01233312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,Introduced species,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,Western King Prawn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03120131,0.391233,0.1224609,0,0.6569347,0,0,1.479597,0,0,0,0,0,0,2.461498,0,0,0,0,0,0,0,0,0.8735122,1.003374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,Other prawns,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5011634,0,0,0,0,0.2245364,0.3375247,0,0.1890489,0,0.02662765,0,0.1428426,0.0766704,0,0,0,0,0,0,0,0,0,0.06979447,0,0,0,0,0,0,0,0.2030887,0.2181717,0,0,0,0.001037748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,Sea snails,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2941201,0,0,0.1668509,0,6.057975,0,7.025997,0,0,0,0,0,0.3317918,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5365606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,Black Mussel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.10428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6977355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,Corals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01758555,0,0,0.306761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,Ascidians,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111532,0,0,0,0,0,0,0,0.1510797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,Sea Cucumbers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7509955,0.04000828,0,0,0,0,0,0.7799581,0,1.67315,0.008277814,0,0,0,0,0,0,0.2934752,0.2893142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,Sand dollars,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1229733,0,0.1329146,0.3945723,0.1139372,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2247524,0,0,0,0,0,0,0,0,0,0,0,0,0,0.169681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,Sponges,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02261526,0.01366283,0.01452026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,Bivalves,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08333201,0,0,0,0,0,0.9408203,0,0,0,0,0,0,0,0,0,0,0.09873768,0.01456094,0,0,0,0,0,0,0,0,0,0.2222652,0,0.266924,0.02346364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,Polychaetes,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1485206,0.003451264,0.009700244,0.003269629,0,0.07077765,0.1639108,0,0,0.01178896,0.04375653,0.2561889,0.3205169,0,0.01480332,0.02648964,0.004288324,0.2344112,0.006843013,0.0127798,0.07780327,0,0,0,0,0,0,0,0,0.03093993,0.1290857,0.1572585,0.3100445,0.02087031,0.03981164,0.000256763,0.01007279,0.000109981,0,0.07015885,0.08944481,0.004912985,0,0,0,0,0,0,0,0,0,0,0,0
64,Bryozoans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2037169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,Urchins,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02333737,0.02482022,0.04545124,0.009525336,0.03159536,0.07981376,0.0838616,0,0.07580024,0.005254145,0,0.01480762,0.02127936,0.1644622,0.1919271,0,0.0575975,0,0,0.06216604,0.06359673,0.03719781,0.1715,0.05450631,0,0,0,0,0,0,0.02706347,0,0,0.002161213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,Zooplankton,0,0,0,0,0,0,0,0,0,0,0,0,0.2088,0,0,0,0,0,0,0,0.05922225,0,0.1181412,1.815387,0,0,0,0,0,0,0.2701482,0,0,0,0,0,0,0.5831336,0.270875,0.7505494,0.2375025,0.2615975,0,0,0,0,0,0,0.08886089,0,0.1253683,0.2388561,0,0,0,0.046324,0.03309919,0.4869745,0.08022694,0,0.03143788,0.07035612,0,0.1624221,0,0,0.002738135
67,Planktotrophic Larvae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000525981,0.279328,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001385643,0.000643653,0.001188971,0.000685195,0.01207536,0,0,0,0,0,0,0,0,0.001753639,0.02205123,0,0,0,0,0.001667971,0.001122816,0,0,0.000144973,0.003247644,0,0,0,0.2782245,0
68,Phytoplankton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03002087,0,0,0.2220827,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6420315,0.298234,0.459087,0.184867,0.2880195,0,0,0,0,0,0,0.1630601,0,0.000139425,0.7889432,0,0,0,0.3060169,0.085032,0.35744,0,0,0.05768863,0.1549245,0,0.3576543,0,1.474703,0.401959
69,Seagrass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003518065,0,0,0,0,0,0,0,0,0.03600382,0,0,0,0,0,0,0,0,0,0,0,0.01993503,0.007923268,0.004008062,0,0,0,0,0.4807527,0,0,0,0,0,0,0,0.002389037,0,0,0,0.000361795,0,0,0,0
70,Macroalgae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08409144,0,0,0,0,0,0,0,0,0,0,0.04276812,0.01940032,0.004683626,0.02340333,0,0,0,0,0.03302524,0,0.04217677,0.05377074,0.05901091,0,0,0,0.00697487,0,0,0,0.004225084,0,0.07183901,0,0
71,Macroalgal Epiphytes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03027272,0,0,0,0,0,0,0,0,0,0,0,0.02793628,0.006744377,0.01348023,0,0,0,0.02179918,0.04755604,0,0.06073415,0.07742935,0.1274627,0,0,0,0,0.01334412,0,0,0.006023842,0,0.05172375,0,0
72,Microphytobenthos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.147491,0,0,0,0,0,0,9.675357,12.33502,0.1353711,0,0,0,6.400145,4.251616,0,0,19.19277,0,0.7003949,0,0
73,Detritus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02189084,0.03081604,0,0.01938954,0.08490361,0.02092994,0.04078272,0.1060367,0.02489703,0.1064478,0,0.1004266,0.118481,0.03027249,0.1555475,0.05387769,0,0,0,0,0,0.0570692,0,0.05998627,0.212142,0.02996114,0.09039379,0.05252146,0.1143531,0.02494673,0,0.1911579,0.2437052,0.1114397,0.01106259,0.004746085,0.1277955,0.071549,0.014,0.01651683,0.02772277,0.2843964,0.064,0.03391628,0,0
