EwEVersion,"6.6.7.17812 (compiled 28/02/2022)"
Date,"26/02/2023 11:47:52 AM"
ModelName,CS_model_V1_110722
EcosimScenario,"New Ecosim scenario"
TimeSeries,(none)
StartYear,2020

Data,ShannonDiversity

year,value
2020,2.730653
2021,2.73067
2022,2.730679
2023,2.730651
2024,2.730654
2025,2.730666
2026,2.730616
2027,2.730603
2028,2.730655
2029,2.730625
2030,2.730585
2031,2.730639
2032,2.730629
2033,2.730573
2034,2.730639
2035,2.730648
2036,2.730546
2037,2.730611
2038,2.730687
2039,2.730557
2040,2.730572
2041,2.730703
2042,2.73057
2043,2.730531
2044,2.730734
2045,2.730608
2046,2.730457
2047,2.730731
2048,2.730695
2049,2.730403
2050,2.730683
2051,2.730791
2052,2.730363
2053,2.7306
2054,2.730923
2055,2.730361
2056,2.730429
2057,2.731052
2058,2.730462
2059,2.730204
2060,2.73112
2061,2.730659
2062,2.729941
2063,2.731103
2064,2.730999
2065,2.729674
2066,2.730894
2067,2.731474
2068,2.729528
2069,2.73044
2070,2.732005
2071,2.729597
2072,2.729708
2073,2.732511
2074,2.730033
2075,2.728678
2076,2.732775
2077,2.730979
2078,2.727496
2079,2.732537
2080,2.732461
2081,2.726397
2082,2.731497
2083,2.734428
2084,2.725789
2085,2.729299
2086,2.736587
2087,2.726244
2088,2.725738
2089,2.738378
2090,2.7283
2091,2.720838
2092,2.738951
2093,2.732345
2094,2.715128
2095,2.737007
2096,2.73828
2097,2.709981
2098,2.730787
2099,2.745252
2100,2.707657
2101,2.718126
2102,2.751575
2103,2.710968
2104,2.697268
2105,2.754335
2106,2.721799
2107,2.669713
2108,2.747898
2109,2.739044
2110,2.660347
2111,2.726502
2112,2.753596
2113,2.673063
2114,2.69638
2115,2.76083
2116,2.697178
2117,2.669331
2118,2.758355
2119,2.722321
