EwEVersion,"6.6.7.17812 (compiled 28/02/2022)"
Date,"26/02/2023 11:47:51 AM"
ModelName,CS_model_V1_110722
EcosimScenario,"New Ecosim scenario"
TimeSeries,(none)
StartYear,2020

Data,FeedingTime

year\group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73
2020,0.9997784,0.99978,0.9999175,0.9999169,0.9998302,0.9998055,0.999831,0.9998023,0.9998569,1.000087,0.9998059,0.9999353,1.000099,0.9999074,0.9998052,0.9999528,0.9998496,0.9998341,0.9998507,0.999871,0.9998501,1.00001,0.9999364,1.000108,1.00007,1.000045,0.9998363,0.9999561,0.999712,0.9998526,0.9999332,0.999963,0.999938,0.9998624,0.9997198,0.9998742,0.9997312,0.999934,0.9999515,0.9999467,0.9998241,0.9999924,0.9997424,0.9998077,0.9997876,0.9999172,0.9998892,0.9997653,1.000003,0.9997336,0.9998939,1.000085,0.9999558,0.9997571,0.9999241,1.000057,1.000108,0.9999518,0.9998958,0.9997502,1.000009,1.000014,0.9997752,1.000048,0.9998396,1,0.9998536,1,1,1,1,1,1
2021,0.9997248,0.9996714,0.9999631,1.000006,0.9997437,0.9997833,0.9998827,0.9997727,0.999924,1.00026,0.9998236,1.000107,1.000188,0.9998594,0.999681,1.000046,0.9996486,0.9995281,0.9996717,0.9997249,0.999905,1.000092,0.9999766,1.000064,0.9999829,0.9999377,0.9996665,0.9997985,0.9995143,0.999769,0.9999126,0.999978,0.9999459,0.9998595,0.999532,0.9998129,0.9997177,0.9999385,0.9999942,0.9999757,0.9997784,0.9999989,0.9997482,0.9996969,0.9996921,0.9999178,0.9997938,0.9994931,1.000042,0.9996786,0.9999819,1.000043,0.9999984,0.9997507,1.000009,1.000019,1.000244,0.9999118,0.9999542,0.9996231,1.000026,1,0.9997943,1.000135,0.999949,1,0.9999635,1,1,1,1,1,1
2022,0.9996917,0.9996527,0.9999855,1.000118,0.9998069,0.9998931,0.9999532,0.9999278,1.000176,1.000484,1.000025,1.000012,1.000098,0.9998171,0.9997618,0.9999953,0.9995587,0.9992538,0.9996513,0.9997159,1.000054,1.000091,1.000005,0.9998787,1.000005,1.000003,0.9998459,0.9998953,0.9995623,0.9998772,0.9999177,1.000041,0.999984,0.9999967,0.9995903,0.9999117,0.9999368,0.9997596,0.9998379,0.9997692,0.9996514,0.9998069,0.999939,0.9997949,0.9997878,0.9999422,0.9998205,0.9994113,0.9999785,0.9997821,1.000177,0.9999507,0.999991,0.9997835,1.000047,0.9999046,1.000165,0.9998372,0.9998655,0.9998345,0.9999691,0.999894,0.9998173,1.000066,0.9999391,1,0.9999418,1,1,1,1,1,1
2023,0.9995009,0.9996206,0.9999408,1.000139,0.9999213,0.9999518,0.999871,1.000062,1.000319,1.000535,1.000072,0.9998338,0.9999313,0.9999,0.999913,0.999935,0.9997345,0.9992485,0.9998808,0.9999475,1.000111,1.000031,0.9999506,0.9998305,1.000185,1.000064,1.000032,0.9998696,0.9996098,0.9999669,0.9999552,0.9998638,0.9999421,1.000007,0.9996616,0.9998903,0.9999704,0.9996023,0.9996939,0.9995653,0.9994677,0.999674,0.9999619,0.9999536,0.999942,0.9998777,0.9997918,0.9994214,0.9998844,0.9997683,0.9998099,0.9999473,0.9999635,0.9996238,0.9999659,0.9998812,1.000024,0.9997601,0.999747,0.9999,0.9999278,0.9998128,0.9996718,0.9999306,0.9998006,1,0.9997503,1,1,1,1,1,1
2024,0.9992869,0.9996476,0.9998496,1.000008,0.9999876,0.9998742,0.9997663,0.9999833,1.000136,1.000258,0.9998698,0.9998185,0.9998541,0.9998584,0.9998925,0.9999025,0.999944,0.9993734,0.9999738,0.9999871,0.9999943,0.9999664,0.9999092,0.9999814,1.000094,0.9999631,0.9999149,0.9997311,0.999583,0.9998953,0.999943,0.9997351,0.9998901,0.9999132,0.999613,0.9998302,0.999885,0.9996935,0.9997894,0.9996657,0.9994776,0.999791,0.9998949,0.9999568,0.9999549,0.9998475,0.999715,0.9994421,0.9999287,0.9997388,0.9997565,1.000026,0.9999776,0.9995645,0.9999988,0.9999835,1.000031,0.9998172,0.9998233,0.9997893,0.9999952,0.9998746,0.9996365,0.9999309,0.999799,1,0.9997098,1,1,1,1,1,1
2025,0.9991682,0.9997224,0.9997602,0.9998257,0.9999757,0.9997501,0.9997341,0.9997751,0.9998453,0.9999653,0.9996783,0.9998105,0.9999382,0.9997506,0.9997933,0.9998746,1.000027,0.9995012,0.9999327,0.9998795,0.9998524,0.9999492,0.9999747,1.000166,0.9999786,0.9999564,0.9999258,0.9998656,0.9995868,0.9999185,0.9999878,0.9998645,0.9999353,0.9999385,0.9996421,0.9999284,0.9999425,0.9999111,1,0.9999566,0.9996966,0.9999936,0.999943,0.9999806,0.999953,0.9998804,0.9997364,0.9994982,1.000067,0.9998312,1.00019,1.00007,0.99999,0.9996602,1.000049,1.000069,1.000178,0.9999103,0.9998872,0.9997706,1.000072,0.99998,0.9997236,1.000078,0.9998478,1,0.999894,1,1,1,1,1,1
2026,0.9990909,0.999742,0.9997268,0.9997738,0.9999618,0.9997674,0.999772,0.999747,0.9998433,1.000031,0.9997824,0.9996994,1.00001,0.999788,0.9998475,0.9998291,1.000077,0.9996789,1,0.9999177,0.9998724,0.9999082,0.9999823,1.000099,1.000055,1.000017,1.000094,1.000036,0.9996517,1.000039,1.000025,0.9998333,0.9999425,0.9999585,0.9997757,0.9999788,0.9999852,0.9999284,1.000004,1.000014,0.9998128,0.9999763,0.9999506,1.000012,0.9999946,0.9998675,0.9997568,0.9995885,1.000063,0.999871,0.9997784,1.000011,0.999966,0.9996564,0.9999822,1.00003,1.000231,0.9998404,0.9998085,0.9998012,1.000016,0.9999392,0.999711,1.000127,0.9997514,1,1.000033,1,1,1,1,1,1
2027,0.9990676,0.9997141,0.9997926,0.9998881,1.000002,0.9999294,0.9999104,0.999953,1.000122,1.000319,1.00004,0.9996935,0.9999579,0.9998312,0.9999894,0.9998093,1.000075,0.9998167,1.000003,0.9998928,0.9999999,0.9998512,0.9999104,0.9998829,1.000013,0.9999506,0.9999955,0.9999219,0.9997361,0.9999902,0.9999233,0.9997553,0.999883,0.9998509,0.999777,0.9998696,0.9998747,0.9997181,0.9997845,0.9997618,0.9996516,0.9997492,0.9998472,0.9999021,0.9999516,0.9998512,0.9996859,0.9996545,0.9999354,0.999816,0.9994283,0.9999325,0.9999726,0.9996477,0.9999914,0.9999564,1.000098,0.9997132,0.9998378,0.9997588,0.9999306,0.9998235,0.9997074,0.9999985,0.9997219,1,0.9999017,1,1,1,1,1,1
2028,0.9991582,0.9997349,0.9998891,0.9999763,1.000048,1.000031,1.000012,1.000095,1.000251,1.000355,1.000045,0.9997776,0.9998637,0.9997738,1.000045,0.9998417,0.9999971,0.9998681,0.9998789,0.9997324,1.00002,0.9998676,0.9999163,0.9998522,0.9999027,0.9999236,0.9999126,0.9998734,0.9998259,0.9999449,0.9998713,0.9999228,0.9999099,0.9998292,0.9997448,0.9998603,0.9998598,0.9996075,0.99967,0.9995971,0.9994609,0.9996292,0.99986,0.9998924,0.9999191,0.9998978,0.9996594,0.9997113,0.9999209,0.9998438,1.0001,0.9999562,0.9999976,0.9997692,1.000078,0.9999776,0.9999843,0.9997303,0.9999468,0.9997525,0.999965,0.9998267,0.9998114,0.9999185,0.9998155,1,0.9997038,1,1,1,1,1,1
2029,0.9992855,0.9998231,0.9998911,0.9998937,1.000042,0.9999674,0.9998896,0.9999936,1.000011,1.000036,0.9997727,0.9997504,0.9998233,0.9997871,0.9999871,0.99986,0.9999871,0.999958,0.9999108,0.999759,0.9998752,0.9998788,0.9999267,1.000037,1.000004,1.000003,1.000075,0.999958,0.9998468,1.000051,0.9999824,0.999822,0.9999272,0.9998663,0.9998366,0.9999036,0.9999042,0.999773,0.9998321,0.9997714,0.9995312,0.9997774,0.9998953,0.9999993,0.9999704,0.9998994,0.9996724,0.9997792,1.000012,0.9998457,0.9999383,1.000053,0.9999728,0.9997748,0.9999995,1.000066,1.000062,0.9998189,0.999905,0.99977,1.000036,0.9999137,0.9997993,1.000001,0.9997576,1,0.9997575,1,1,1,1,1,1
2030,0.9993966,0.9999308,0.999828,0.9997801,1.000004,0.9998513,0.9997501,0.999815,0.9997347,0.9997886,0.9996373,0.9997564,0.9998801,0.9998383,0.9998568,0.9998541,0.9999912,0.9999946,0.9999695,0.9998386,0.9997545,0.9998372,0.9998952,1.000175,1.000053,0.9999733,0.9999936,0.9998626,0.9997795,1.000005,1.000039,0.9995635,0.9998465,0.9997825,0.9998195,0.9998201,0.9997984,0.9999797,1.00003,1.000039,0.9997602,0.9999657,0.9997942,0.999929,0.9999494,0.9998648,0.9996486,0.9998094,1.000055,0.9997399,0.9992644,1.000071,0.9999655,0.9996822,0.9999339,1.000096,1.000207,0.999851,0.9998958,0.9997252,1.000037,0.9999461,0.9997213,1.000104,0.9996967,1,0.9999705,1,1,1,1,1,1
