EwEVersion,"6.6.7.17812 (compiled 28/02/2022)"
Date,"26/02/2023 11:47:52 AM"
ModelName,CS_model_V1_110722
EcosimScenario,"New Ecosim scenario"
TimeSeries,(none)
StartYear,2020

Data,MortFleetGroup

year,fleet,group,value
2020,1,22,1.039261
2020,2,7,0.002269678
2020,3,15,0.004043382
2020,3,20,0.001855072
2020,3,41,0.4141415
2020,3,45,0.06329896
2021,1,22,1.039261
2021,2,7,0.002269678
2021,3,15,0.004043382
2021,3,20,0.001855072
2021,3,41,0.4141415
2021,3,45,0.06329896
2022,1,22,1.039261
2022,2,7,0.002269678
2022,3,15,0.004043382
2022,3,20,0.001855072
2022,3,41,0.4141415
2022,3,45,0.06329896
2023,1,22,1.039261
2023,2,7,0.002269678
2023,3,15,0.004043382
2023,3,20,0.001855072
2023,3,41,0.4141415
2023,3,45,0.06329896
2024,1,22,1.039261
2024,2,7,0.002269678
2024,3,15,0.004043382
2024,3,20,0.001855072
2024,3,41,0.4141415
2024,3,45,0.06329896
2025,1,22,1.039261
2025,2,7,0.002269678
2025,3,15,0.004043382
2025,3,20,0.001855072
2025,3,41,0.4141415
2025,3,45,0.06329896
2026,1,22,1.039261
2026,2,7,0.002269678
2026,3,15,0.004043382
2026,3,20,0.001855072
2026,3,41,0.4141415
2026,3,45,0.06329896
2027,1,22,1.039261
2027,2,7,0.002269678
2027,3,15,0.004043382
2027,3,20,0.001855072
2027,3,41,0.4141415
2027,3,45,0.06329896
2028,1,22,1.039261
2028,2,7,0.002269678
2028,3,15,0.004043382
2028,3,20,0.001855072
2028,3,41,0.4141415
2028,3,45,0.06329896
2029,1,22,1.039261
2029,2,7,0.002269678
2029,3,15,0.004043382
2029,3,20,0.001855072
2029,3,41,0.4141415
2029,3,45,0.06329896
2030,1,22,1.039261
2030,2,7,0.002269678
2030,3,15,0.004043382
2030,3,20,0.001855072
2030,3,41,0.4141415
2030,3,45,0.06329896
2031,1,22,1.039261
2031,2,7,0.002269678
2031,3,15,0.004043382
2031,3,20,0.001855072
2031,3,41,0.4141415
2031,3,45,0.06329896
2032,1,22,1.039261
2032,2,7,0.002269678
2032,3,15,0.004043382
2032,3,20,0.001855072
2032,3,41,0.4141415
2032,3,45,0.06329896
2033,1,22,1.039261
2033,2,7,0.002269678
2033,3,15,0.004043382
2033,3,20,0.001855072
2033,3,41,0.4141415
2033,3,45,0.06329896
2034,1,22,1.039261
2034,2,7,0.002269678
2034,3,15,0.004043382
2034,3,20,0.001855072
2034,3,41,0.4141415
2034,3,45,0.06329896
2035,1,22,1.039261
2035,2,7,0.002269678
2035,3,15,0.004043382
2035,3,20,0.001855072
2035,3,41,0.4141415
2035,3,45,0.06329896
2036,1,22,1.039261
2036,2,7,0.002269678
2036,3,15,0.004043382
2036,3,20,0.001855072
2036,3,41,0.4141415
2036,3,45,0.06329896
2037,1,22,1.039261
2037,2,7,0.002269678
2037,3,15,0.004043382
2037,3,20,0.001855072
2037,3,41,0.4141415
2037,3,45,0.06329896
2038,1,22,1.039261
2038,2,7,0.002269678
2038,3,15,0.004043382
2038,3,20,0.001855072
2038,3,41,0.4141415
2038,3,45,0.06329896
2039,1,22,1.039261
2039,2,7,0.002269678
2039,3,15,0.004043382
2039,3,20,0.001855072
2039,3,41,0.4141415
2039,3,45,0.06329896
2040,1,22,1.039261
2040,2,7,0.002269678
2040,3,15,0.004043382
2040,3,20,0.001855072
2040,3,41,0.4141415
2040,3,45,0.06329896
2041,1,22,1.039261
2041,2,7,0.002269678
2041,3,15,0.004043382
2041,3,20,0.001855072
2041,3,41,0.4141415
2041,3,45,0.06329896
2042,1,22,1.039261
2042,2,7,0.002269678
2042,3,15,0.004043382
2042,3,20,0.001855072
2042,3,41,0.4141415
2042,3,45,0.06329896
2043,1,22,1.039261
2043,2,7,0.002269678
2043,3,15,0.004043382
2043,3,20,0.001855072
2043,3,41,0.4141415
2043,3,45,0.06329896
2044,1,22,1.039261
2044,2,7,0.002269678
2044,3,15,0.004043382
2044,3,20,0.001855072
2044,3,41,0.4141415
2044,3,45,0.06329896
2045,1,22,1.039261
2045,2,7,0.002269678
2045,3,15,0.004043382
