EwEVersion,"6.6.7.17812 (compiled 28/02/2022)"
Date,"26/02/2023 11:47:52 AM"
ModelName,CS_model_V1_110722
EcosimScenario,"New Ecosim scenario"
TimeSeries,(none)
StartYear,2020

Data,MortFleetGroup

timestep,fleet,group,value
23,1,22,0.08660508
23,2,7,0.0001891398
23,3,15,0.0003369485
23,3,20,0.0001545894
23,3,41,0.03451179
23,3,45,0.005274914
24,1,22,0.08660508
24,2,7,0.0001891398
24,3,15,0.0003369485
24,3,20,0.0001545894
24,3,41,0.03451179
24,3,45,0.005274914
25,1,22,0.08660508
25,2,7,0.0001891398
25,3,15,0.0003369485
25,3,20,0.0001545894
25,3,41,0.03451179
25,3,45,0.005274914
26,1,22,0.08660508
26,2,7,0.0001891398
26,3,15,0.0003369485
26,3,20,0.0001545894
26,3,41,0.03451179
26,3,45,0.005274914
27,1,22,0.08660508
27,2,7,0.0001891398
27,3,15,0.0003369485
27,3,20,0.0001545894
27,3,41,0.03451179
27,3,45,0.005274914
28,1,22,0.08660508
28,2,7,0.0001891398
28,3,15,0.0003369485
28,3,20,0.0001545894
28,3,41,0.03451179
28,3,45,0.005274914
29,1,22,0.08660508
29,2,7,0.0001891398
29,3,15,0.0003369485
29,3,20,0.0001545894
29,3,41,0.03451179
29,3,45,0.005274914
30,1,22,0.08660508
30,2,7,0.0001891398
30,3,15,0.0003369485
30,3,20,0.0001545894
30,3,41,0.03451179
30,3,45,0.005274914
31,1,22,0.08660508
31,2,7,0.0001891398
31,3,15,0.0003369485
31,3,20,0.0001545894
31,3,41,0.03451179
31,3,45,0.005274914
32,1,22,0.08660508
32,2,7,0.0001891398
32,3,15,0.0003369485
32,3,20,0.0001545894
32,3,41,0.03451179
32,3,45,0.005274914
33,1,22,0.08660508
33,2,7,0.0001891398
33,3,15,0.0003369485
33,3,20,0.0001545894
33,3,41,0.03451179
33,3,45,0.005274914
34,1,22,0.08660508
34,2,7,0.0001891398
34,3,15,0.0003369485
34,3,20,0.0001545894
34,3,41,0.03451179
34,3,45,0.005274914
35,1,22,0.08660508
35,2,7,0.0001891398
35,3,15,0.0003369485
35,3,20,0.0001545894
35,3,41,0.03451179
35,3,45,0.005274914
36,1,22,0.08660508
36,2,7,0.0001891398
36,3,15,0.0003369485
36,3,20,0.0001545894
36,3,41,0.03451179
36,3,45,0.005274914
37,1,22,0.08660508
