EwEVersion,"6.6.7.17812 (compiled 28/02/2022)"
Date,"26/02/2023 11:47:50 AM"
ModelName,CS_model_V1_110722
EcosimScenario,"New Ecosim scenario"
TimeSeries,(none)
StartYear,2020

Data,ConsumptionBiomass

year\group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73
2020,1.850084,3.500179,24.69995,21.66988,19.50077,57.66201,16.64038,69.96256,69.96087,30.09827,17.2006,2.099972,4.699703,16.64012,4.900218,7.099911,2.100087,4.500232,11.40041,16.30042,8.100102,7.299839,7.799942,31.59821,11.88965,18.19978,6.300267,6.700131,37.70289,4.120131,22.69997,13.59991,11.50007,14.40035,4.700346,14.70045,7.360432,30.99951,14.39965,26.5994,16.80041,12.5996,12.30064,21.60092,21.60099,28.94034,3.240095,42.30299,9.199742,12.50076,38.70049,23.99888,22.69975,28.94156,16.89994,9.499624,2.999786,23.99989,7.500011,10.50072,3.099914,6.999807,24.20111,15.99925,9.60009,57.00248,27.00019,0,0,0,0,0,0
2021,1.850015,3.500037,24.69989,21.66958,19.50006,57.65947,16.63972,69.95921,69.95772,30.09873,17.19954,2.099979,4.700033,16.64038,4.900053,7.100007,2.100084,4.500315,11.4004,16.30053,8.099826,7.299961,7.799946,31.60135,11.89036,18.20026,6.300049,6.700038,37.70058,4.120002,22.70023,13.59979,11.49993,14.39972,4.700072,14.69985,7.35976,31.00071,14.40023,26.6006,16.80026,12.60035,12.29963,21.60017,21.60011,28.93967,3.240023,42.30162,9.200033,12.49984,38.69769,24.0006,22.69988,28.93946,16.89957,9.50025,2.999985,24.00031,7.499982,10.49983,3.100024,7.000128,24.19953,15.99998,9.599801,57.00219,26.99946,0,0,0,0,0,0
2022,1.850055,3.50004,24.70011,21.66967,19.49972,57.65907,16.64007,69.95797,69.95686,30.09888,17.19956,2.100074,4.700167,16.63989,4.899886,7.100081,2.099994,4.500174,11.39976,16.29958,8.099834,7.300018,7.800036,31.60097,11.88955,18.19953,6.299669,6.69989,37.6998,4.119883,22.69983,13.60017,11.49997,14.3997,4.699938,14.69984,7.359785,31.00149,14.40062,26.60153,16.80073,12.60059,12.29971,21.59935,21.5994,28.94028,3.239995,42.30059,9.200206,12.49991,38.70067,24.0003,22.70017,28.9407,16.90022,9.500188,3.000083,24.00058,7.50028,10.49968,3.100047,7.000187,24.20058,16.00042,9.600257,56.99791,27.00083,0,0,0,0,0,0
2023,1.850098,3.500034,24.70042,21.67022,19.49969,57.66021,16.64041,69.95953,69.96004,30.10062,17.20033,2.100047,4.700169,16.63994,4.899943,7.100082,2.099922,4.499989,11.39962,16.29952,8.10006,7.300122,7.800154,31.59985,11.8899,18.20028,6.300022,6.700264,37.70032,4.120027,22.70009,13.60074,11.50021,14.40029,4.700045,14.70033,7.360133,31.00052,14.40019,26.60062,16.80055,12.60011,12.30019,21.59978,21.59973,28.94059,3.240077,42.30036,9.200106,12.50022,38.70367,23.99978,22.70007,28.94122,16.90015,9.49992,3.000057,24.00021,7.500063,10.50016,3.099997,7.00005,24.20082,16.00034,9.600223,56.99405,27.00091,0,0,0,0,0,0
2024,1.850081,3.499986,24.70052,21.67072,19.49993,57.66143,16.64026,69.96225,69.96352,30.10181,17.20079,2.099997,4.699961,16.64042,4.900096,7.10005,2.099952,4.499959,11.40006,16.30029,8.100224,7.300065,7.799953,31.5985,11.89039,18.20031,6.300161,6.700054,37.70049,4.12006,22.69998,13.59989,11.50002,14.40015,4.700076,14.69997,7.36005,30.99888,14.39946,26.59878,16.79969,12.59949,12.30005,21.60009,21.60012,28.93994,3.240041,42.30024,9.199765,12.49996,38.69683,23.99958,22.69987,28.93987,16.8997,9.499759,2.99993,23.9995,7.49983,10.50021,3.099933,6.99984,24.19984,15.99967,9.599891,56.99652,26.99966,0,0,0,0,0,0
2025,1.850058,3.499982,24.70039,21.67057,19.50009,57.66092,16.64004,69.96209,69.96226,30.10057,17.2002,2.100032,4.699863,16.64016,4.900042,7.100045,2.099979,4.499923,11.39999,16.30013,8.100097,7.300007,7.799875,31.59927,11.88994,18.1997,6.2998,6.69967,37.69999,4.119902,22.69963,13.59969,11.49987,14.3998,4.699921,14.69963,7.35986,30.99908,14.39958,26.5988,16.79939,12.59968,12.29984,21.59972,21.59983,28.93991,3.239977,42.29979,9.199805,12.49979,38.69898,24.00001,22.70006,28.93977,16.90006,9.499942,2.999901,23.99993,7.500071,10.49997,3.099986,6.999935,24.19988,15.99951,9.600089,57.00208,26.99896,0,0,0,0,0,0
2026,1.850051,3.500026,24.70003,21.66989,19.49997,57.6591,16.63979,69.95889,69.95782,30.09859,17.19933,2.100044,4.700011,16.63981,4.899903,7.100075,2.099983,4.499887,11.39984,16.29986,8.099875,7.3001,7.800109,31.60126,11.88986,18.20004,6.299939,6.700004,37.69973,4.119965,22.70019,13.6005,11.50012,14.40021,4.699949,14.7002,7.36009,31.00089,14.40043,26.60076,16.80019,12.60043,12.3002,21.60023,21.59999,28.94033,3.240042,42.29972,9.200186,12.50012,38.70625,24.00045,22.7001,28.94054,16.90024,9.500157,3.000021,24.00078,7.500122,10.50007,3.100066,7.000176,24.20038,16.00017,9.600272,57.0016,26.99998,0,0,0,0,0,0
2027,1.85002,3.500026,24.69965,21.66955,19.49982,57.65852,16.63959,69.95745,69.95671,30.09881,17.19952,2.099984,4.700137,16.64014,4.899914,7.100019,2.100019,4.499958,11.40021,16.30045,8.099891,7.300065,7.800102,31.60123,11.89032,18.20033,6.30023,6.700217,37.69962,4.120088,22.70058,13.5999,11.50009,14.40032,4.700078,14.70031,7.360159,31.00153,14.40071,26.60164,16.80088,12.60065,12.3002,21.60046,21.6003,28.9399,3.240066,42.2999,9.200198,12.5001,38.69773,24.00023,22.69985,28.93971,16.89966,9.500079,3.000102,24.00047,7.499833,10.50013,3.100023,7.000132,24.19976,16.0005,9.599902,56.99637,27.00121,0,0,0,0,0,0
2028,1.849987,3.499981,24.69979,21.67002,19.49991,57.65985,16.64005,69.95972,69.96073,30.10097,17.20059,2.099991,4.70009,16.64018,4.900002,7.099957,2.100021,4.499962,11.40015,16.30034,8.100126,7.299948,7.799949,31.59939,11.88997,18.19974,6.299881,6.699888,37.69965,4.119941,22.69977,13.59966,11.49987,14.39987,4.699972,14.69982,7.359921,30.99998,14.39998,26.60014,16.80041,12.60003,12.29984,21.59959,21.59988,28.93975,3.240007,42.29973,9.199887,12.4999,38.69538,23.99962,22.7,28.93949,16.89992,9.49986,3.000014,23.99971,7.499954,10.49999,3.099951,6.999922,24.19971,15.99998,9.599959,56.99483,27.00061,0,0,0,0,0,0
2029,1.849987,3.499949,24.70026,21.67054,19.50008,57.66117,16.64058,69.96215,69.964,30.10187,17.20084,2.100027,4.699967,16.63988,4.900088,7.100021,2.099991,4.499928,11.39982,16.29975,8.100239,7.300054,7.800043,31.59855,11.8897,18.1999,6.299883,6.700027,37.70035,4.119949,22.6995,13.60092,11.50014,14.40014,4.699955,14.70014,7.360074,30.9986,14.39935,26.59856,16.79951,12.59946,12.30016,21.59992,21.59991,28.94035,3.240031,42.29979,9.199837,12.50024,38.7071,23.99958,22.70017,28.94072,16.90048,9.499835,2.999899,23.99975,7.500129,10.50009,3.099973,6.999903,24.20057,15.99958,9.600293,56.99823,26.99918,0,0,0,0,0,0
