EwEVersion,"6.6.7.17812 (compiled 28/02/2022)"
Date,"26/02/2023 11:47:50 AM"
ModelName,CS_model_V1_110722
EcosimScenario,"New Ecosim scenario"
TimeSeries,(none)
StartYear,2020

Data,ConsumptionBiomass

timestep\group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73
1,1.85025,3.50041,24.70257,21.67232,19.50171,57.66758,16.64225,69.969,69.96857,30.10043,17.20205,2.100268,4.699901,16.6418,4.900546,7.100802,2.100156,4.500338,11.40105,16.3016,8.100883,7.300411,7.800498,31.59809,11.89025,18.19981,6.300631,6.700099,37.70488,4.120392,22.70157,13.60027,11.50057,14.40123,4.700655,14.70076,7.361052,31.00096,14.40039,26.60083,16.80137,12.59995,12.30171,21.60228,21.60266,28.941,3.240161,42.30362,9.199786,12.50169,38.7007,23.99764,22.7004,28.94317,16.90071,9.49931,2.999781,23.99965,7.500401,10.50095,3.099896,6.999724,24.20239,15.9993,9.601025,57.00236,27.00234,0,0,0,0,0,0
2,1.850128,3.500248,24.6993,21.66947,19.5011,57.66281,16.64076,69.96352,69.9605,30.09475,17.20103,2.100019,4.699221,16.63997,4.900255,7.099915,2.100096,4.500219,11.40039,16.30033,8.100183,7.29945,7.799683,31.59466,11.88836,18.19728,6.300048,6.699306,37.70383,4.120029,22.69933,13.59868,11.49954,14.40009,4.700415,14.69975,7.360714,30.999,14.39945,26.59909,16.80084,12.59902,12.30113,21.60119,21.60142,28.9386,3.23991,42.30345,9.19915,12.50118,38.69822,23.99567,22.69874,28.94218,16.89942,9.498543,2.999522,23.99824,7.500007,10.50094,3.099684,6.999222,24.20176,15.99808,9.600389,57.00158,27.00134,0,0,0,0,0,0
3,1.850109,3.500225,24.69932,21.66943,19.50098,57.66229,16.64054,69.96295,69.96018,30.09585,17.20087,2.09999,4.699355,16.63988,4.900222,7.099844,2.100087,4.500202,11.40034,16.30026,8.100112,7.299553,7.799746,31.59548,11.88867,18.19811,6.300063,6.699588,37.70356,4.120052,22.69944,13.59917,11.49977,14.40024,4.700393,14.70011,7.360642,30.99889,14.39937,26.59894,16.80064,12.59909,12.301,21.60108,21.60126,28.9397,3.240003,42.30336,9.199349,12.5011,38.69995,23.99652,22.69917,28.94282,16.89964,9.49883,2.999597,23.9989,7.500079,10.50093,3.099757,6.999405,24.20212,15.99845,9.600369,57.00154,27.00093,0,0,0,0,0,0
4,1.850096,3.500208,24.69949,21.66953,19.5009,57.66204,16.64042,69.96268,69.96033,30.09701,17.20077,2.099967,4.699494,16.63981,4.900205,7.099801,2.10008,4.500194,11.40029,16.30018,8.100086,7.299648,7.799816,31.59638,11.88891,18.19875,6.300105,6.699835,37.70332,4.120075,22.69949,13.59959,11.49993,14.4003,4.700373,14.70036,7.360573,30.99895,14.39939,26.59895,16.8005,12.59922,12.30087,21.60095,21.60108,28.94028,3.24006,42.30326,9.199532,12.501,38.70087,23.99749,22.69948,28.94277,16.89983,9.499155,2.999675,23.99945,7.500089,10.5009,3.099828,6.999584,24.20205,15.9988,9.600301,57.00176,27.0006,0,0,0,0,0,0
5,1.850084,3.50019,24.69963,21.66963,19.50081,57.66184,16.64032,69.96243,69.96044,30.09787,17.20067,2.099949,4.699603,16.63978,4.900194,7.099777,2.100075,4.500192,11.40027,16.30014,8.100067,7.299725,7.799868,31.59719,11.88915,18.19929,6.300158,6.700037,37.70311,4.120095,22.69956,13.59988,11.50003,14.40034,4.700356,14.70052,7.360507,30.99907,14.39944,26.599,16.80039,12.59936,12.30075,21.60084,21.60093,28.94061,3.240096,42.30315,9.199674,12.50089,38.70126,23.99835,22.69971,28.94242,16.89997,9.499439,2.999741,23.99985,7.500068,10.50086,3.099885,6.999728,24.20178,15.99909,9.600197,57.00205,27.00031,0,0,0,0,0,0
6,1.850074,3.500172,24.69974,21.6697,19.50074,57.66166,16.64024,69.9622,69.96049,30.09846,17.20057,2.099936,4.699688,16.6398,4.900187,7.099772,2.100073,4.500196,11.40027,16.30015,8.100047,7.299789,7.799906,31.59792,11.88941,18.19976,6.300211,6.7002,37.70291,4.120113,22.69967,13.60007,11.5001,14.40036,4.700338,14.70061,7.360441,30.9992,14.39949,26.59907,16.8003,12.59949,12.30063,21.60076,21.60081,28.94077,3.240121,42.30305,9.199781,12.50078,38.70135,23.99905,22.69986,28.94196,16.90005,9.499675,2.999792,24.00012,7.500034,10.50081,3.099929,6.99984,24.20144,15.9993,9.60008,57.00235,27.00006,0,0,0,0,0,0
7,1.850064,3.500154,24.69982,21.66975,19.50067,57.66146,16.64017,69.96196,69.96045,30.09886,17.20047,2.099927,4.699757,16.63985,4.900182,7.099782,2.100074,4.500205,11.40029,16.3002,8.100028,7.299842,7.799935,31.59858,11.88967,18.20017,6.300264,6.700321,37.7027,4.120128,22.69979,13.60019,11.50015,14.40036,4.70032,14.70065,7.360374,30.99934,14.39955,26.59918,16.80023,12.59961,12.30052,21.60071,21.60074,28.94081,3.240135,42.30295,9.199857,12.50067,38.70128,23.9996,22.69995,28.94148,16.90009,9.499856,2.999832,24.0003,7.499995,10.50075,3.099962,6.999925,24.20107,15.99946,9.599969,57.00264,26.99984,0,0,0,0,0,0
8,1.850055,3.500137,24.69987,21.66977,19.5006,57.66128,16.6401,69.96172,69.96033,30.09909,17.20037,2.099921,4.699809,16.63993,4.900177,7.099801,2.100075,4.500217,11.40032,16.30027,8.100007,7.299883,7.799953,31.59916,11.88991,18.20049,6.300308,6.700404,37.70249,4.120139,22.69993,13.60025,11.50017,14.40034,4.700302,14.70065,7.360308,30.99948,14.39962,26.59929,16.80018,12.59971,12.30041,21.60068,21.60068,28.94076,3.240141,42.30285,9.199907,12.50056,38.7011,24.00002,22.69999,28.94104,16.90007,9.499996,2.999862,24.0004,7.499953,10.50068,3.099985,6.999988,24.2007,15.99958,9.599873,57.00287,26.99964,0,0,0,0,0,0
9,1.850047,3.500121,24.69991,21.66978,19.50054,57.66108,16.64004,69.96147,69.96017,30.09922,17.20026,2.099918,4.699853,16.64002,4.900172,7.099824,2.100078,4.500232,11.40036,16.30036,8.099987,7.299915,7.799966,31.59966,11.89013,18.20074,6.30034,6.70045,37.70229,4.120143,22.70005,13.60026,11.50017,14.40031,4.700283,14.70061,7.36024,30.99961,14.39968,26.59941,16.80014,12.5998,12.3003,21.60066,21.60064,28.94064,3.24014,42.30273,9.199943,12.50046,38.70084,24.00032,22.69998,28.94065,16.90001,9.500093,2.999886,24.00044,7.499915,10.50059,3.1,7.000031,24.20038,15.99966,9.599794,57.00304,26.99948,0,0,0,0,0,0
10,1.850039,3.500106,24.69992,21.66977,19.50047,57.66088,16.63998,69.9612,69.95995,30.09927,17.20016,2.099918,4.69989,16.64012,4.900166,7.099849,2.100081,4.500247,11.4004,16.30045,8.099965,7.299937,7.799975,31.60011,11.8903,18.2009,6.300358,6.700465,37.70208,4.120143,22.70017,13.60025,11.50016,14.40027,4.700263,14.70055,7.360175,30.99974,14.39975,26.59953,16.80011,12.59989,12.3002,21.60065,21.60061,28.94049,3.240135,42.30262,9.199965,12.50036,38.70051,24.00051,22.69995,28.94032,16.89993,9.500162,2.999903,24.00046,7.499887,10.50051,3.10001,7.000062,24.2001,15.99972,9.599734,57.00316,26.99934,0,0,0,0,0,0
