EwEVersion,"6.6.7.17812 (compiled 28/02/2022)"
Date,"26/02/2023 11:47:50 AM"
ModelName,CS_model_V1_110722
EcosimScenario,"New Ecosim scenario"
TimeSeries,(none)
StartYear,2020

Data,Biomass

timestep\group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73
11,0.05400136,0.05440214,0.008599939,0.08230035,0.1790211,0.03900065,1.321835,0.01900031,0.01016012,0.002069947,0.1290211,0.002809983,0.3198735,0.05188905,9.497404,3.437994,0.3447449,0.1864453,0.9490408,20.70013,7.153829,0.08659814,1.101418,0.09119061,0.1899882,0.2209717,0.8970605,0.04387588,0.0005000174,6.772918,1.380047,0.285176,0.8130055,3.077902,111.5918,0.1410028,0.8231589,23.62102,21.81245,6.866121,0.2969892,0.1929742,1.384222,0.8853573,0.4850463,0.09509366,0.1969829,0.0001000043,0.08259774,4.911396,14.32472,0.004003984,0.02631465,0.1209851,0.04920639,5.750887E-05,0.2698973,0.2274585,0.09514584,0.8380827,0.0971945,0.00988875,34.05943,0.07720872,16.247,9.8505,21.35125,26.84629,66.1676,56.6554,39.34457,0.1235111,75.01117
12,0.05400151,0.0544024,0.008599934,0.08230036,0.1790238,0.03900072,1.321839,0.01900034,0.01016013,0.00206994,0.1290236,0.002809973,0.3198706,0.05188893,9.497461,3.437988,0.3447518,0.1864464,0.949047,20.7002,7.153831,0.08659805,1.101419,0.09118958,0.1899872,0.2209709,0.8970699,0.04387612,0.0005000198,6.772958,1.380051,0.2851745,0.8130075,3.077944,111.5922,0.1410038,0.8231804,23.62075,21.81226,6.866055,0.2969881,0.1929716,1.384251,0.8853673,0.4850517,0.09509526,0.1969836,0.0001000049,0.08259739,4.91144,14.32493,0.004003902,0.02631479,0.1209869,0.04920695,5.750774E-05,0.2698969,0.2274568,0.09514656,0.8381357,0.09719381,0.009888637,34.0599,0.07720853,16.24723,9.850511,21.35165,26.84621,66.16747,56.65519,39.34451,0.1235101,75.01112
13,0.05400166,0.05440266,0.00859993,0.08230037,0.1790265,0.03900079,1.321842,0.01900038,0.01016014,0.002069933,0.129026,0.002809962,0.3198677,0.05188884,9.49752,3.437981,0.3447593,0.1864477,0.9490538,20.70027,7.153834,0.08659797,1.10142,0.09118865,0.1899866,0.2209708,0.8970799,0.04387643,0.0005000221,6.773,1.380055,0.2851729,0.8130097,3.077988,111.5926,0.1410048,0.8232018,23.62048,21.81207,6.86599,0.296987,0.1929691,1.384281,0.8853776,0.4850571,0.09509686,0.1969844,0.0001000056,0.08259705,4.911484,14.32512,0.00400383,0.02631488,0.1209885,0.04920747,5.75067E-05,0.2698966,0.2274553,0.09514695,0.8381898,0.09719316,0.009888529,34.06028,0.07720835,16.24739,9.850544,21.35199,26.84613,66.16714,56.6549,39.34439,0.1235087,75.011
14,0.05400181,0.05440293,0.008599924,0.08230038,0.1790292,0.03900086,1.321845,0.01900041,0.01016015,0.002069926,0.1290281,0.00280995,0.3198648,0.05188877,9.497581,3.437974,0.3447672,0.1864492,0.9490612,20.70036,7.153835,0.08659789,1.101422,0.09118784,0.1899863,0.2209714,0.8970906,0.04387679,0.0005000246,6.773043,1.38006,0.2851713,0.813012,3.078032,111.5931,0.1410059,0.8232229,23.62022,21.81188,6.865924,0.2969858,0.1929667,1.384309,0.8853883,0.4850627,0.09509836,0.1969855,0.0001000063,0.0825967,4.911525,14.32531,0.004003769,0.02631491,0.1209898,0.04920793,5.750575E-05,0.2698962,0.2274542,0.09514704,0.8382443,0.09719255,0.009888426,34.06058,0.07720816,16.24748,9.850595,21.35225,26.84607,66.1666,56.65455,39.34423,0.1235071,75.01081
15,0.05400196,0.0544032,0.008599918,0.08230038,0.179032,0.03900092,1.321846,0.01900044,0.01016016,0.002069918,0.1290301,0.002809937,0.3198619,0.05188872,9.497644,3.437968,0.3447758,0.1864507,0.9490692,20.70046,7.153836,0.08659781,1.101423,0.09118716,0.1899864,0.2209725,0.8971017,0.04387718,0.0005000271,6.773088,1.380066,0.2851695,0.8130143,3.078076,111.5935,0.1410069,0.8232434,23.61996,21.81169,6.865859,0.2969846,0.1929643,1.384338,0.8853993,0.4850684,0.09509971,0.1969867,0.000100007,0.08259636,4.911564,14.32547,0.004003718,0.02631488,0.1209909,0.04920829,5.75049E-05,0.2698959,0.2274532,0.09514681,0.8382984,0.09719198,0.00988833,34.06079,0.07720798,16.2475,9.850664,21.35242,26.84601,66.16585,56.65414,39.34402,0.1235053,75.01057
16,0.0540021,0.05440348,0.008599912,0.08230037,0.1790348,0.03900099,1.321847,0.01900048,0.01016016,0.00206991,0.1290317,0.002809923,0.319859,0.05188871,9.497708,3.437962,0.3447848,0.1864525,0.9490777,20.70058,7.153837,0.08659773,1.101424,0.0911866,0.1899867,0.2209742,0.8971132,0.04387758,0.0005000296,6.773133,1.380072,0.2851675,0.8130167,3.07812,111.5939,0.1410078,0.8232632,23.61971,21.81151,6.865794,0.2969833,0.192962,1.384365,0.8854106,0.4850742,0.09510086,0.1969881,0.0001000078,0.08259602,4.911601,14.3256,0.004003676,0.02631478,0.1209918,0.04920855,5.750414E-05,0.2698955,0.2274523,0.09514629,0.8383514,0.09719146,0.009888238,34.06092,0.07720779,16.24745,9.850748,21.35253,26.84598,66.1649,56.65369,39.34378,0.1235035,75.01029
17,0.05400225,0.05440375,0.008599904,0.08230036,0.1790376,0.03900106,1.321846,0.01900051,0.01016017,0.002069901,0.1290331,0.002809908,0.3198562,0.05188872,9.497772,3.437957,0.3447944,0.1864544,0.9490868,20.7007,7.153836,0.08659764,1.101425,0.09118617,0.1899873,0.2209761,0.8971249,0.04387796,0.0005000322,6.773179,1.380078,0.2851653,0.8130189,3.078162,111.5944,0.1410087,0.8232821,23.61947,21.81133,6.865731,0.296982,0.1929598,1.384391,0.8854221,0.4850801,0.09510179,0.1969894,0.0001000085,0.08259568,4.911635,14.3257,0.004003643,0.02631464,0.1209924,0.04920869,5.750347E-05,0.2698951,0.2274517,0.09514549,0.8384027,0.09719098,0.009888154,34.06098,0.0772076,16.24736,9.850849,21.35256,26.84596,66.16377,56.65321,39.3435,0.1235017,75.00998
18,0.05400239,0.05440403,0.008599897,0.08230035,0.1790404,0.03900112,1.321845,0.01900054,0.01016017,0.002069891,0.1290341,0.002809893,0.3198534,0.05188875,9.497837,3.437953,0.3448045,0.1864565,0.9490963,20.70084,7.153835,0.08659756,1.101425,0.09118586,0.1899882,0.2209784,0.8971367,0.04387831,0.0005000347,6.773225,1.380084,0.2851628,0.8130211,3.078203,111.5948,0.1410094,0.8232999,23.61924,21.81116,6.86567,0.2969807,0.1929577,1.384415,0.8854336,0.4850859,0.09510245,0.1969908,0.0001000093,0.08259536,4.911666,14.32576,0.004003618,0.02631444,0.1209928,0.04920869,5.750289E-05,0.2698948,0.2274511,0.09514446,0.8384517,0.09719055,0.009888074,34.06097,0.07720742,16.24721,9.850965,21.35252,26.84596,66.1625,56.65272,39.3432,0.1235001,75.00965
19,0.05400253,0.0544043,0.008599889,0.08230033,0.1790431,0.03900118,1.321842,0.01900057,0.01016017,0.002069881,0.1290348,0.002809878,0.3198506,0.0518888,9.497901,3.437949,0.3448151,0.1864586,0.9491063,20.70099,7.153832,0.08659748,1.101425,0.09118568,0.1899891,0.2209807,0.8971484,0.0438786,0.0005000373,6.77327,1.380091,0.2851601,0.8130232,3.078241,111.5952,0.14101,0.8233164,23.61903,21.81101,6.865612,0.2969794,0.1929557,1.384439,0.8854452,0.4850917,0.09510286,0.1969922,0.0001000102,0.08259504,4.911695,14.32577,0.004003601,0.02631422,0.1209929,0.04920858,5.75024E-05,0.2698944,0.2274507,0.09514322,0.8384977,0.09719017,0.009888002,34.06089,0.07720724,16.24702,9.851097,21.35242,26.84599,66.16111,56.65223,39.34289,0.1234986,75.00932
20,0.05400268,0.05440458,0.008599879,0.0823003,0.1790459,0.03900123,1.321838,0.0190006,0.01016017,0.002069871,0.1290352,0.002809863,0.3198479,0.05188887,9.497965,3.437946,0.3448261,0.186461,0.9491166,20.70115,7.153829,0.0865974,1.101425,0.09118562,0.1899903,0.2209831,0.8971599,0.04387883,0.0005000398,6.773314,1.380098,0.2851571,0.8130251,3.078275,111.5957,0.1410106,0.8233315,23.61883,21.81086,6.865556,0.2969781,0.1929539,1.38446,0.8854568,0.4850975,0.09510302,0.1969934,0.000100011,0.08259473,4.911721,14.32574,0.004003591,0.02631396,0.1209928,0.04920834,5.750199E-05,0.2698941,0.2274504,0.09514182,0.8385404,0.09718984,0.009887936,34.06075,0.07720707,16.24679,9.851242,21.35226,26.84603,66.15965,56.65174,39.34257,0.1234972,75.00898
