EwEVersion,"6.6.7.17812 (compiled 28/02/2022)"
Date,"26/02/2023 11:47:50 AM"
ModelName,CS_model_V1_110722
EcosimScenario,"New Ecosim scenario"
TimeSeries,(none)
StartYear,2020

Data,Biomass

year\group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73
2030,0.05404163,0.05442918,0.0086008,0.08230283,0.1790816,0.03900451,1.321933,0.01900152,0.01015868,0.002069066,0.1290193,0.002810915,0.3197961,0.05189218,9.499043,3.438799,0.3449951,0.1866238,0.9493143,20.70126,7.152898,0.0866051,1.101414,0.09119826,0.1899812,0.2209675,0.8971634,0.04387252,0.0005002142,6.77411,1.380199,0.2851503,0.8130448,3.077666,111.6153,0.1410002,0.8232296,23.62096,21.81224,6.866482,0.2970096,0.1929556,1.384465,0.8857189,0.4852074,0.09509446,0.1969664,0.00010008,0.08259625,4.912015,14.32681,0.004003632,0.02631606,0.12099,0.04921336,5.75069E-05,0.2698806,0.2274376,0.09514803,0.8384573,0.09719092,0.009887527,34.05927,0.07720464,16.24686,9.850644,21.35221,26.84533,66.19656,56.66319,39.35002,0.1235098,75.01179
2031,0.05404494,0.05442937,0.008600668,0.08230389,0.1790825,0.0390051,1.322023,0.01900186,0.01015888,0.002069092,0.1290477,0.002810906,0.3197833,0.05189314,9.499387,3.438819,0.3450066,0.1866214,0.9493296,20.7017,7.152922,0.08660565,1.101408,0.0911878,0.1899833,0.2209763,0.8972042,0.04387832,0.0005002283,6.774258,1.380172,0.285175,0.81306,3.077821,111.6165,0.1410076,0.8232837,23.61863,21.80984,6.865797,0.296983,0.1929351,1.384529,0.8857604,0.4852173,0.09509438,0.1969789,0.0001000833,0.08259265,4.91211,14.32839,0.00400344,0.0263147,0.1209879,0.04921342,5.750359E-05,0.269877,0.227429,0.09514538,0.8385789,0.09718705,0.009886981,34.05897,0.07720289,16.24639,9.850953,21.35069,26.84605,66.15899,56.65817,39.34647,0.1235059,75.00919
2032,0.05404771,0.05442948,0.008600453,0.08230428,0.1790829,0.03900545,1.321996,0.01900202,0.01015878,0.002069017,0.1290168,0.002810866,0.3197709,0.05189205,9.499423,3.438768,0.3450248,0.1866198,0.94933,20.70139,7.152857,0.08660545,1.101346,0.0911909,0.1899761,0.2209578,0.8972006,0.04387286,0.0005002379,6.774273,1.380127,0.2851247,0.813051,3.077709,111.6168,0.1409987,0.8232605,23.61887,21.81002,6.865659,0.2969669,0.1929345,1.384486,0.8857335,0.4852083,0.09508014,0.1969662,0.0001000858,0.08259284,4.911931,14.32024,0.004003979,0.02631233,0.1209706,0.04920651,5.75073E-05,0.2698748,0.2274414,0.0951373,0.8385066,0.09719235,0.009887206,34.05574,0.07720221,16.24317,9.853686,21.34812,26.84778,66.15361,56.65664,39.34413,0.1235168,75.00832
2033,0.05405031,0.05443002,0.008600199,0.08230413,0.179079,0.0390054,1.321969,0.0190019,0.01015846,0.002068896,0.1289759,0.002810897,0.3197734,0.05188811,9.499053,3.438709,0.3450086,0.1866109,0.9492812,20.69977,7.15274,0.08660717,1.101377,0.09120315,0.1899601,0.2209433,0.8971477,0.04386779,0.0005002441,6.774115,1.380133,0.2851239,0.8130456,3.077556,111.6161,0.1409952,0.8232239,23.62141,21.81245,6.866304,0.2969813,0.1929535,1.384446,0.8856869,0.4851919,0.0950891,0.1969555,0.0001000875,0.08259809,4.911959,14.32539,0.004004418,0.02631657,0.1209848,0.04921636,5.751317E-05,0.2698753,0.2274692,0.09515826,0.8384238,0.0972034,0.009888157,34.05906,0.07720321,16.24677,9.854859,21.34708,26.84812,66.20219,56.66472,39.351,0.1235205,75.01283
2034,0.0540524,0.05443025,0.008599904,0.08230408,0.1790743,0.03900535,1.32195,0.01900179,0.01015831,0.002068849,0.1289791,0.002810862,0.3197795,0.05188888,9.498916,3.438787,0.3449997,0.1866045,0.94928,20.69992,7.152695,0.08660825,1.101465,0.09120529,0.1899778,0.2209851,0.8972003,0.04387507,0.0005002517,6.774277,1.380245,0.2851545,0.8130655,3.077818,111.6173,0.1410049,0.8232875,23.62268,21.81355,6.866737,0.2970026,0.1929598,1.384537,0.8857362,0.4852073,0.09510592,0.1969718,0.0001000895,0.08260065,4.912174,14.3308,0.00400418,0.02631594,0.1210055,0.04921718,5.751221E-05,0.269876,0.2274667,0.09515622,0.8385332,0.09720195,0.009888411,34.062,0.07720428,16.24783,9.852193,21.35022,26.84691,66.167,56.65938,39.34782,0.1234954,75.00922
2035,0.05405365,0.05442963,0.008599589,0.08230453,0.1790751,0.03900569,1.321932,0.01900203,0.0101585,0.002068893,0.12902,0.002810777,0.3197734,0.05189422,9.499209,3.438847,0.3450275,0.1866066,0.9493384,20.70183,7.152746,0.08660766,1.101405,0.09119283,0.1899984,0.2209931,0.8972287,0.04387471,0.0005002587,6.774374,1.380236,0.2851256,0.8130549,3.077806,111.618,0.1409989,0.8232662,23.62072,21.81152,6.866269,0.296999,0.192942,1.384506,0.8857644,0.4852221,0.09508908,0.1969762,0.000100091,0.08259363,4.911966,14.31979,0.004003575,0.02631066,0.1209829,0.04920119,5.750314E-05,0.2698733,0.227425,0.09512407,0.8385226,0.09718563,0.009887143,34.05649,0.07720301,16.24235,9.84994,21.35335,26.84541,66.13931,56.65335,39.34166,0.1234967,75.00509
2036,0.05405485,0.05442898,0.008599358,0.08230519,0.1790796,0.03900615,1.322015,0.01900236,0.01015873,0.002068919,0.129045,0.002810827,0.3197645,0.05189401,9.499393,3.438802,0.3450276,0.1866049,0.9493277,20.70152,7.152784,0.08660915,1.101336,0.09118537,0.1899761,0.2209468,0.8971393,0.04386814,0.0005002645,6.774094,1.380101,0.2851386,0.8130335,3.07746,111.6164,0.1409916,0.8231774,23.61848,21.80936,6.865667,0.2969755,0.1929277,1.384398,0.8857219,0.4852078,0.09508134,0.1969646,0.0001000917,0.08258864,4.911846,14.32247,0.004003422,0.02631523,0.1209743,0.0492108,5.749997E-05,0.2698693,0.227419,0.09514213,0.8384085,0.09718355,0.009886528,34.05636,0.07720085,16.24527,9.8517,21.35016,26.84578,66.20794,56.66517,39.35084,0.1235234,75.01219
2037,0.05405625,0.05442886,0.00859915,0.08230521,0.1790801,0.03900627,1.322054,0.01900241,0.01015864,0.002068845,0.1290146,0.002810843,0.3197627,0.05189043,9.499284,3.438823,0.3450042,0.1865997,0.9492902,20.70027,7.152726,0.08661064,1.101406,0.09119316,0.1899664,0.2209596,0.8971637,0.04387413,0.0005002715,6.774167,1.38014,0.2851801,0.8130577,3.077662,111.6169,0.1410037,0.8232524,23.61946,21.81031,6.865809,0.2969653,0.1929351,1.384498,0.8857491,0.4852079,0.09509989,0.1969699,0.0001000926,0.08259424,4.912148,14.33392,0.004004013,0.02631809,0.120997,0.0492239,5.750792E-05,0.2698685,0.2274581,0.09516815,0.8385119,0.09719872,0.009887639,34.06149,0.07720112,16.2495,9.85405,21.34638,26.84802,66.18516,56.66389,39.35149,0.1235114,75.01229
2038,0.05405715,0.05442885,0.008598835,0.0823046,0.1790762,0.03900616,1.321928,0.01900228,0.01015837,0.002068744,0.1289707,0.002810722,0.3197646,0.05189087,9.499104,3.438842,0.345014,0.1865989,0.9493153,20.70085,7.152634,0.08660931,1.101406,0.09120224,0.1899858,0.2209856,0.8972394,0.04387431,0.0005002748,6.774422,1.380238,0.285115,0.8130629,3.077855,111.6184,0.1410009,0.823299,23.62198,21.81269,6.866375,0.296982,0.1929506,1.384541,0.8857681,0.4852164,0.09509059,0.1969681,0.0001000936,0.08259825,4.912015,14.3214,0.00400446,0.026311,0.1209844,0.04920523,5.751183E-05,0.2698697,0.2274651,0.09513768,0.8385463,0.09720171,0.009888188,34.05756,0.07720261,16.24289,9.853688,21.34886,26.84831,66.11913,56.65134,39.34031,0.1234982,75.00492
2039,0.05405769,0.05442869,0.00859855,0.08230451,0.1790738,0.03900622,1.321918,0.01900229,0.01015834,0.002068734,0.1289856,0.002810728,0.3197706,0.05189111,9.498967,3.438759,0.3450132,0.1865954,0.9493079,20.70071,7.152624,0.08661024,1.101363,0.09120072,0.189976,0.2209526,0.8971527,0.04386484,0.0005002757,6.774149,1.380172,0.2850958,0.8130338,3.077497,111.6169,0.1409885,0.8231898,23.62228,21.81295,6.866602,0.2969998,0.1929541,1.384404,0.8856997,0.4852011,0.09508183,0.1969565,0.0001000938,0.08259548,4.911766,14.31776,0.004004005,0.02631369,0.120976,0.0492056,5.750608E-05,0.2698692,0.2274441,0.09513719,0.8384035,0.0971936,0.009887584,34.05627,0.07720254,16.24351,9.851937,21.35162,26.84596,66.19936,56.66258,39.34834,0.1235179,75.01082
