EwEVersion,"6.6.7.17812 (compiled 28/02/2022)"
Date,"26/02/2023 11:47:52 AM"
ModelName,CS_model_V1_110722
EcosimScenario,"New Ecosim scenario"
TimeSeries,(none)
StartYear,2020

Data,TL

year\group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73
2030,4.170838,4.140017,3.974394,3.736448,3.664575,3.585474,3.588866,3.406862,3.347876,3.331382,3.371072,3.303679,3.268076,3.249233,3.258788,3.188947,3.043632,3.028457,3.001852,3.001152,3.051773,2.905567,2.880186,2.886073,2.860782,2.659168,2.638947,2.544628,2.616986,2.466904,2.590037,2.556827,2.402457,2.309543,2.282484,2.208651,2.181434,2.283643,2.283643,2.424819,2.371183,2.300289,2.135808,2.583219,2.495145,2.367892,2.313793,2.166621,2.108533,2.036798,2.03713,2.130541,2.105232,2.105232,2.009897,2.05432,2.134807,2.227007,2.119123,2,2.113959,2.121887,2,2.113075,2,2.130856,2.00282,1,1,1,1,1,1
2031,4.170841,4.140018,3.97444,3.736489,3.664606,3.585478,3.588888,3.406862,3.347879,3.33139,3.37108,3.303714,3.268072,3.249243,3.25878,3.188968,3.043629,3.028457,3.001852,3.001152,3.051749,2.905584,2.880225,2.88607,2.860789,2.65918,2.638966,2.544647,2.616978,2.466933,2.59005,2.556881,2.402468,2.309556,2.282525,2.208664,2.181445,2.283643,2.283643,2.424819,2.371181,2.300288,2.135816,2.58329,2.495172,2.367907,2.313808,2.166628,2.108536,2.0368,2.037149,2.13054,2.105237,2.105237,2.009899,2.05432,2.134807,2.227012,2.119132,2,2.113961,2.121889,2,2.113076,2,2.130852,2.00282,1,1,1,1,1,1
2032,4.170851,4.140022,3.974488,3.736558,3.664662,3.585541,3.588926,3.406907,3.347922,3.331432,3.371126,3.303679,3.268057,3.249266,3.258817,3.188953,3.043633,3.028461,3.001852,3.001152,3.051736,2.905576,2.880242,2.886075,2.860777,2.659159,2.638919,2.544601,2.616976,2.466896,2.590052,2.556881,2.40246,2.309531,2.282484,2.208632,2.181415,2.28368,2.28368,2.424863,2.371221,2.300318,2.135806,2.583275,2.49515,2.367886,2.313792,2.166615,2.108557,2.036797,2.03716,2.130553,2.105229,2.105229,2.009898,2.05433,2.134825,2.227051,2.119159,2,2.113983,2.121908,2,2.113098,2,2.13082,2.002821,1,1,1,1,1,1
2033,4.170846,4.140018,3.974479,3.736561,3.664668,3.585555,3.588926,3.406922,3.347937,3.331443,3.371141,3.303667,3.268047,3.249259,3.25882,3.188942,3.043631,3.028457,3.001852,3.001152,3.051748,2.905562,2.880206,2.886075,2.860774,2.659153,2.638937,2.544615,2.616964,2.466891,2.59005,2.556781,2.402452,2.30953,2.282469,2.208644,2.181426,2.283697,2.283697,2.424884,2.37124,2.300332,2.135799,2.583194,2.495126,2.367875,2.31378,2.166611,2.108564,2.036796,2.03714,2.130559,2.105224,2.105224,2.009897,2.054334,2.134832,2.227062,2.119161,2,2.11399,2.121913,2,2.113105,2,2.1308,2.002821,1,1,1,1,1,1
2034,4.170836,4.140007,3.974428,3.736483,3.664598,3.585462,3.58887,3.406858,3.347883,3.33139,3.37109,3.303726,3.268053,3.249231,3.25877,3.188971,3.043628,3.028456,3.001852,3.001152,3.051756,2.905593,2.880228,2.886062,2.860802,2.659203,2.638987,2.54467,2.616967,2.46695,2.590077,2.556859,2.402477,2.309578,2.282537,2.208679,2.181459,2.283655,2.283655,2.424833,2.371194,2.300296,2.135829,2.583302,2.495197,2.367934,2.313822,2.166644,2.108544,2.036804,2.037148,2.130542,2.105249,2.105248,2.0099,2.054324,2.134812,2.227026,2.119143,2,2.113969,2.121894,2,2.113085,2,2.130823,2.00282,1,1,1,1,1,1
2035,4.170843,4.140008,3.974395,3.736439,3.664561,3.585443,3.588846,3.406838,3.347858,3.331367,3.37106,3.303694,3.268076,3.249235,3.258778,3.188964,3.043635,3.028463,3.001852,3.001152,3.051763,2.905596,2.880244,2.886069,2.860797,2.659194,2.63893,2.544617,2.616995,2.466916,2.590062,2.55694,2.40248,2.309559,2.282501,2.208638,2.181422,2.283629,2.283629,2.424802,2.371167,2.300276,2.135826,2.583331,2.495197,2.367926,2.313822,2.166638,2.108531,2.036803,2.037155,2.130535,2.105246,2.105246,2.0099,2.054317,2.134801,2.227003,2.119129,2,2.113956,2.121885,2,2.113071,2,2.130863,2.00282,1,1,1,1,1,1
2036,4.170846,4.140018,3.974436,3.736506,3.664622,3.585527,3.5889,3.406895,3.347903,3.331411,3.3711,3.303645,3.268078,3.249254,3.258815,3.188934,3.043634,3.028459,3.001852,3.001152,3.051762,2.90556,2.880191,2.886083,2.860767,2.659141,2.638911,2.54459,2.616984,2.466871,2.590023,2.556792,2.402453,2.309515,2.282445,2.208625,2.18141,2.283662,2.283662,2.424842,2.371202,2.300306,2.135792,2.583168,2.495108,2.367861,2.313773,2.166603,2.108542,2.036794,2.037129,2.130549,2.105218,2.105218,2.009896,2.054324,2.134816,2.227024,2.119132,2,2.113968,2.121896,2,2.113084,2,2.130853,2.00282,1,1,1,1,1,1
2037,4.170839,4.140015,3.974497,3.736568,3.664671,3.58553,3.58893,3.406903,3.347923,3.331432,3.37113,3.303718,3.268047,3.249254,3.258794,3.188967,3.043626,3.028454,3.001852,3.001152,3.051734,2.905581,2.880219,2.88607,2.860785,2.659174,2.638988,2.544665,2.616952,2.46694,2.59006,2.556796,2.402465,2.309556,2.282529,2.208679,2.181459,2.283683,2.283682,2.424865,2.371223,2.300319,2.135811,2.583242,2.495155,2.367898,2.313797,2.166624,2.108557,2.036799,2.037146,2.130553,2.105233,2.105233,2.009898,2.054331,2.134825,2.227049,2.119155,2,2.113983,2.121906,2,2.113098,2,2.130807,2.002821,1,1,1,1,1,1
2038,4.170846,4.140011,3.974469,3.736531,3.664634,3.585494,3.588898,3.406879,3.347905,3.331414,3.371114,3.303717,3.268044,3.249253,3.258794,3.188974,3.043633,3.028462,3.001852,3.001152,3.051736,2.905601,2.880273,2.886062,2.860799,2.659198,2.638947,2.544632,2.616975,2.466934,2.590086,2.556947,2.402479,2.309565,2.282528,2.208651,2.181433,2.283672,2.283672,2.424852,2.371211,2.300308,2.13583,2.58337,2.495209,2.367932,2.313823,2.166641,2.108557,2.036804,2.037176,2.130547,2.105248,2.105248,2.0099,2.054328,2.134821,2.227051,2.119164,2,2.113983,2.121905,2,2.113097,2,2.130805,2.002821,1,1,1,1,1,1
2039,4.170846,4.140012,3.974402,3.736471,3.664594,3.585505,3.588873,3.406884,3.347896,3.331401,3.371094,3.303636,3.268071,3.249247,3.258815,3.188931,3.043637,3.028461,3.001852,3.001152,3.051775,2.905561,2.880198,2.886077,2.860773,2.659151,2.638896,2.544578,2.616993,2.466862,2.590034,2.556824,2.402456,2.30952,2.282433,2.208615,2.181401,2.283663,2.283663,2.424843,2.371204,2.300305,2.135799,2.583194,2.495125,2.367875,2.313781,2.166611,2.108544,2.036796,2.037133,2.130548,2.105224,2.105224,2.009897,2.054325,2.134816,2.227027,2.119137,2,2.11397,2.121897,2,2.113086,2,2.130841,2.002821,1,1,1,1,1,1
