EwEVersion,"6.6.7.17812 (compiled 28/02/2022)"
Date,"26/02/2023 11:47:50 AM"
ModelName,CS_model_V1_110722
EcosimScenario,"New Ecosim scenario"
TimeSeries,(none)
StartYear,2020

Data,"PredationMortality of Bryozoans"

year\group,Gurnards,
2020,0.03871043
2021,0.0387114
2022,0.03871023
2023,0.03870811
2024,0.03870454
2025,0.03870657
2026,0.03870982
2027,0.03870561
2028,0.03870204
2029,0.03870675
2030,0.03871063
2031,0.03870989
2032,0.03870851
2033,0.03870395
2034,0.03870222
2035,0.03871091
2036,0.03871347
2037,0.03870348
2038,0.03870279
2039,0.03870969
2040,0.03870723
2041,0.03870749
2042,0.038711
2043,0.03870171
2044,0.03870125
2045,0.03871669
2046,0.0387102
2047,0.03869616
2048,0.03870941
2049,0.03871277
2050,0.03869879
2051,0.03871135
2052,0.03871566
2053,0.03869091
2054,0.03870512
2055,0.03872836
2056,0.03869578
2057,0.03869176
2058,0.03872886
2059,0.03870301
2060,0.0386853
2061,0.0387339
2062,0.03871083
2063,0.03866675
2064,0.03873257
2065,0.03873629
2066,0.03865537
2067,0.03871367
2068,0.03875881
2069,0.03865338
2070,0.03869173
2071,0.03878709
2072,0.0386567
2073,0.03864747
2074,0.03881543
2075,0.03869111
2076,0.03859143
2077,0.03881914
2078,0.03874793
2079,0.03853669
2080,0.03880147
2081,0.03883378
2082,0.03848335
2083,0.03873453
2084,0.03895206
2085,0.03847086
2086,0.03860551
2087,0.03906908
2088,0.03852066
2089,0.03842181
2090,0.03916523
2091,0.03866171
2092,0.03818142
2093,0.03918315
2094,0.03893356
2095,0.03793649
2096,0.03904827
2097,0.0393273
2098,0.0377607
2099,0.03870304
2100,0.03981492
2101,0.03776002
2102,0.03808529
2103,0.04028505
2104,0.03809876
2105,0.0372232
2106,0.04049505
2107,0.03892402
2108,0.03628926
2109,0.04005792
2110,0.0402943
2111,0.0360109
2112,0.0385904
2113,0.04126703
2114,0.03676432
2115,0.03719403
2116,0.04149905
2117,0.03803156
2118,0.03616735
2119,0.04091091
