EwEVersion,"6.6.7.17812 (compiled 28/02/2022)"
Date,"26/02/2023 11:47:51 AM"
ModelName,CS_model_V1_110722
EcosimScenario,"New Ecosim scenario"
TimeSeries,(none)
StartYear,2020

Data,Mortality

year\group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73
2020,0.1139772,0.1799648,0.1900094,0.07999572,0.709889,0.08998498,0.839978,0.08998562,0.1399903,0.1900209,1.889875,0.3610072,0.440074,0.8400359,0.3199659,0.8600004,1.099885,0.4699999,0.4099651,0.5200071,0.1099978,1.100002,1.119982,0.800082,0.8000531,1.850132,0.4799403,1.58013,0.1199694,0.325956,0.8399646,0.9000993,0.4699951,1.11995,0.1699845,0.9800031,1.089833,1.200148,0.9600735,0.7800981,0.9200719,0.8901395,0.9138599,0.5199174,0.5199136,7.570213,1.49014,0.1799629,0.8300152,0.7599564,1.519985,2.300226,7.569668,7.570637,3.899851,2.230237,0.08000668,2.300227,4.449818,2.899732,1.900026,1.350126,4.850182,0.2000114,7.509935,29.60292,2.999751,50.97395,7.299778,1.999984,1.999981,706.4396,0
2021,0.1139682,0.1799408,0.1900105,0.08000124,0.7098104,0.08998067,0.8400052,0.08998057,0.1399943,0.1900504,1.88987,0.361057,0.4401094,0.8400125,0.3199233,0.8600147,1.099658,0.469892,0.409892,0.519936,0.1100011,1.100007,1.119992,0.8000682,0.7999815,1.849928,0.479854,1.579944,0.1199416,0.3259229,0.8399538,0.9001077,0.4699674,1.119828,0.1699565,0.9799364,1.089708,1.200143,0.9601036,0.7801215,0.9200655,0.8901525,0.9137613,0.5198477,0.5198578,7.569823,1.489934,0.17991,0.8300502,0.7599151,1.519902,2.300137,7.570084,7.569821,3.89992,2.230188,0.08001561,2.30006,4.450134,2.899168,1.900068,1.350122,4.849911,0.2000272,7.509999,29.60052,2.999959,50.97464,7.299984,2.000023,2.000005,706.449,0
2022,0.1139655,0.1799374,0.1900154,0.08001014,0.7098522,0.08999022,0.8400814,0.08999345,0.1400269,0.1900914,1.890262,0.3610337,0.440083,0.8400111,0.3199445,0.8600032,1.099551,0.4698044,0.409877,0.5199294,0.1100197,1.100006,1.120037,0.7999044,0.7999868,1.850027,0.4799317,1.580151,0.1199461,0.3259547,0.8399761,0.9001772,0.4699953,1.12,0.1699623,0.9800326,1.089953,1.200037,0.9600049,0.7800343,0.9200416,0.8900172,0.9139467,0.5198891,0.519896,7.570316,1.490034,0.1798927,0.8300066,0.7599716,1.520251,2.299873,7.570105,7.570405,3.900153,2.229943,0.08001233,2.299971,4.450247,2.89992,1.899951,1.350008,4.850244,0.2000166,7.510393,29.59754,3.000303,50.97338,7.300478,2.000066,2.000057,706.449,0
2023,0.1139448,0.1799312,0.1900008,0.08001198,0.7099373,0.08999613,0.8400216,0.09000587,0.1400481,0.1901023,1.890322,0.3609647,0.440017,0.8400891,0.3199871,0.8599862,1.09973,0.4697937,0.4099606,0.5200312,0.1100302,1.100001,1.119996,0.7998528,0.8001313,1.85017,0.4800299,1.580153,0.1199526,0.325989,0.8400056,0.900019,0.4699949,1.120076,0.1699705,0.9799929,1.090038,1.199895,0.9598823,0.7798913,0.9199449,0.8898681,0.9140167,0.5199748,0.5199729,7.570152,1.490103,0.179894,0.829925,0.7599542,1.519893,2.299848,7.569801,7.57031,3.899807,2.229823,0.08000162,2.299889,4.449764,2.90033,1.899855,1.349904,4.850096,0.1999921,7.509922,29.59648,3.000103,50.97214,7.299482,1.999974,1.999972,706.3918,0
2024,0.1139196,0.1799348,0.1899772,0.08000184,0.7099913,0.0899899,0.8399331,0.09000018,0.1400273,0.1900526,1.88995,0.3609486,0.4399767,0.8400453,0.3199823,0.859957,1.099955,0.46981,0.41,0.5200521,0.1100205,1.099997,1.119941,0.7999708,0.8000585,1.84997,0.4799778,1.57985,0.1199498,0.325967,0.8399839,0.8998784,0.4699694,1.119978,0.1699631,0.9799117,1.089947,1.199916,0.9599304,0.7798946,0.9199076,0.8899242,0.9139571,0.5199791,0.5199851,7.569865,1.490002,0.1798976,0.8299457,0.7599292,1.519755,2.300061,7.569965,7.56985,3.899884,2.229966,0.07999951,2.300014,4.449904,2.900023,1.899991,1.34997,4.849899,0.1999858,7.509869,29.59959,2.999762,50.97296,7.299435,1.999937,1.999925,706.3874,0
2025,0.1139051,0.1799484,0.1899603,0.07998722,0.7099855,0.08997834,0.8399095,0.08998156,0.1399888,0.1899954,1.889624,0.3609489,0.4400043,0.8399226,0.3199524,0.8599508,1.100035,0.4698226,0.4099831,0.5200019,0.1100049,1.099997,1.120019,0.8001354,0.7999614,1.849941,0.4799741,1.579861,0.1199495,0.3259698,0.8400235,0.8999827,0.4699933,1.120019,0.1699675,0.9800039,1.090016,1.200076,0.9600984,0.7800448,0.9199997,0.8901016,0.9140091,0.5199886,0.5199837,7.570093,1.489995,0.1799071,0.8300619,0.7599917,1.520375,2.300193,7.57019,7.570021,3.90021,2.230143,0.08001032,2.30021,4.450314,2.899919,1.900169,1.350123,4.850073,0.2000113,7.510326,29.60219,2.999782,50.97469,7.300539,1.999995,2.000001,706.4138,0
2026,0.113896,0.1799532,0.1899551,0.07998209,0.7099732,0.08997849,0.8399232,0.08997708,0.1399853,0.190002,1.88981,0.3609152,0.4400393,0.8399332,0.319969,0.8599591,1.100088,0.4698794,0.4100099,0.5200287,0.1100056,1.099993,1.12006,0.8000963,0.8000209,1.850076,0.4800573,1.580067,0.119957,0.3260114,0.8400562,0.9000037,0.4700203,1.120121,0.1699879,0.9800919,1.090128,1.200128,0.9601331,0.780113,0.9201015,0.8901395,0.914078,0.5200111,0.5200056,7.570093,1.490079,0.1799235,0.8300717,0.7600275,1.520029,2.300043,7.569911,7.570099,3.89991,2.230045,0.08001532,2.300112,4.449943,2.900097,1.900064,1.350084,4.850066,0.2000253,7.51004,29.59988,3.000184,50.97486,7.299333,1.99993,1.999943,706.4014,0
2027,0.1138925,0.1799482,0.1899694,0.07999073,0.710001,0.08999276,0.8400105,0.08999482,0.1400219,0.1900562,1.890317,0.3609135,0.4400331,0.8400021,0.320019,0.8599473,1.10011,0.4699594,0.4100241,0.5200465,0.11002,1.09999,1.119985,0.7999105,0.7999918,1.849956,0.480017,1.580027,0.1199671,0.3259997,0.8399599,0.8999817,0.4699984,1.120032,0.1699913,0.9800394,1.09004,1.199987,0.9599801,0.7800069,0.9200664,0.8900096,0.9140039,0.5199566,0.5199893,7.569797,1.490063,0.1799361,0.8299622,0.7600057,1.519518,2.29982,7.569899,7.569745,3.899782,2.229837,0.0800046,2.299883,4.449699,2.900073,1.899866,1.349917,4.849859,0.2000011,7.50976,29.59672,3.000303,50.97304,7.298538,1.999857,1.999849,706.4091,0
2028,0.113902,0.1799511,0.189997,0.07999942,0.7100379,0.09000325,0.8401034,0.09000945,0.1400444,0.1900726,1.890392,0.3609545,0.4400079,0.8399884,0.3200409,0.8599632,1.100042,0.4700063,0.40998,0.5199791,0.1100245,1.099992,1.119987,0.7998679,0.7999033,1.849891,0.4799685,1.580031,0.1199781,0.3259803,0.8399072,0.9001276,0.470003,1.119989,0.1699895,0.9800327,1.090007,1.199869,0.9598731,0.7798944,0.9199434,0.8899088,0.9139955,0.5199417,0.5199707,7.569996,1.490035,0.1799463,0.8299407,0.7600436,1.520343,2.299868,7.570198,7.569931,3.900238,2.229888,0.07999492,2.299928,4.450153,2.900057,1.899927,1.349928,4.850014,0.1999822,7.510279,29.59756,2.999938,50.97198,7.300383,1.999945,1.999952,706.4479,0
2029,0.1139167,0.1799666,0.1900122,0.0799951,0.7100375,0.08999863,0.8400199,0.09000212,0.1400176,0.1900221,1.889842,0.360963,0.4399945,0.8399752,0.3200195,0.8600051,1.100021,0.4700339,0.4099783,0.5199626,0.1100099,1.099992,1.12002,0.8000188,0.7999839,1.850061,0.4800459,1.580092,0.1199818,0.3260147,0.8399937,0.9000227,0.4700252,1.120072,0.1700025,0.9800334,1.090084,1.199946,0.9599654,0.7799323,0.9199176,0.8899648,0.9140622,0.519999,0.5199946,7.570135,1.490014,0.1799588,0.8300204,0.7600556,1.52031,2.300135,7.569941,7.570223,3.900078,2.230095,0.07999983,2.300091,4.450078,2.900064,1.90009,1.350062,4.850124,0.1999992,7.510134,29.60047,2.999731,50.97361,7.29977,1.999935,1.999959,706.4387,0
