EwEVersion,"6.6.7.17812 (compiled 28/02/2022)"
Date,"26/02/2023 11:47:52 AM"
ModelName,CS_model_V1_110722
EcosimScenario,"New Ecosim scenario"
TimeSeries,(none)
StartYear,2020

Data,TL

timestep\group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73
1,4.170908,4.140028,3.974395,3.73641,3.664595,3.585464,3.58887,3.406858,3.347861,3.331375,3.371061,3.303714,3.26805,3.249229,3.258795,3.188968,3.043634,3.028463,3.001852,3.001152,3.051764,2.905594,2.880252,2.886045,2.860807,2.659212,2.638978,2.544664,2.617052,2.466944,2.590083,2.556943,2.402475,2.309581,2.282526,2.208672,2.181454,2.283635,2.283635,2.424807,2.371174,2.300275,2.135835,2.583319,2.495208,2.367943,2.313812,2.166649,2.10854,2.036806,2.03715,2.130532,2.105253,2.105253,2.0099,2.054319,2.134803,2.227018,2.119145,2,2.113965,2.121888,2,2.113079,2,2.130816,2.00282,1,1,1,1,1,1
2,4.170901,4.14002,3.974394,3.736411,3.664591,3.585465,3.588867,3.406856,3.347859,3.331372,3.371058,3.303682,3.268041,3.249226,3.258795,3.188948,3.043631,3.028461,3.001852,3.001152,3.051743,2.905545,2.880207,2.886038,2.860787,2.659174,2.638943,2.544626,2.617002,2.466902,2.590049,2.556908,2.40243,2.309546,2.282495,2.208647,2.181432,2.283632,2.283632,2.424803,2.371169,2.300271,2.135818,2.583289,2.495169,2.367906,2.313778,2.166627,2.108536,2.0368,2.037149,2.13053,2.105239,2.105238,2.009899,2.054318,2.1348,2.227011,2.119138,2,2.113961,2.121885,2,2.113075,2,2.13081,2.00282,1,1,1,1,1,1
3,4.170901,4.140022,3.974393,3.736406,3.664589,3.585462,3.588866,3.406853,3.347857,3.33137,3.371056,3.303682,3.26804,3.249223,3.258793,3.188947,3.043632,3.028461,3.001851,3.001152,3.051744,2.905539,2.880201,2.886038,2.860786,2.659173,2.638941,2.544624,2.616996,2.466899,2.590045,2.556902,2.402424,2.309544,2.282494,2.208646,2.181431,2.283631,2.283631,2.424801,2.371167,2.30027,2.135816,2.583285,2.495165,2.367903,2.313775,2.166625,2.108534,2.0368,2.037148,2.130529,2.105237,2.105237,2.009899,2.054318,2.134799,2.227008,2.119134,2,2.113959,2.121883,2,2.113074,2,2.130811,2.00282,1,1,1,1,1,1
4,4.170902,4.140024,3.974392,3.736403,3.664588,3.585459,3.588864,3.406852,3.347855,3.331369,3.371053,3.303682,3.268041,3.249223,3.258792,3.188946,3.043632,3.02846,3.001851,3.001152,3.051744,2.905532,2.880195,2.886038,2.860783,2.659168,2.638941,2.544623,2.61699,2.466897,2.590039,2.556898,2.402417,2.309541,2.282494,2.208646,2.181431,2.283629,2.283629,2.424799,2.371166,2.300268,2.135814,2.58328,2.49516,2.367898,2.313771,2.166622,2.108532,2.036799,2.037146,2.130529,2.105235,2.105235,2.009898,2.054317,2.134798,2.227005,2.119131,2,2.113957,2.121882,2,2.113072,2,2.130813,2.00282,1,1,1,1,1,1
5,4.170904,4.140025,3.974392,3.736399,3.664586,3.585456,3.588863,3.40685,3.347852,3.331367,3.371051,3.303682,3.268042,3.249223,3.25879,3.188945,3.043632,3.028459,3.001851,3.001152,3.051744,2.905526,2.88019,2.886038,2.86078,2.659164,2.638943,2.544623,2.616986,2.466895,2.590034,2.556895,2.402411,2.309538,2.282494,2.208647,2.181431,2.283627,2.283627,2.424797,2.371164,2.300267,2.135811,2.583276,2.495155,2.367893,2.313767,2.166619,2.108531,2.036798,2.037145,2.130528,2.105233,2.105233,2.009898,2.054317,2.134797,2.227001,2.119128,2,2.113956,2.121881,2,2.113071,2,2.130816,2.00282,1,1,1,1,1,1
6,4.170904,4.140028,3.974393,3.736398,3.664586,3.585455,3.588863,3.406849,3.347851,3.331366,3.371049,3.303684,3.268044,3.249222,3.258788,3.188944,3.043631,3.028458,3.001851,3.001152,3.051745,2.905521,2.880187,2.886039,2.86078,2.659162,2.638946,2.544626,2.616984,2.466895,2.59003,2.556893,2.402407,2.309538,2.282496,2.20865,2.181434,2.283626,2.283626,2.424795,2.371162,2.300266,2.13581,2.583273,2.495152,2.367891,2.313765,2.166617,2.108529,2.036798,2.037144,2.130528,2.105232,2.105232,2.009898,2.054316,2.134796,2.226999,2.119126,2,2.113954,2.121879,2,2.11307,2,2.130819,2.00282,1,1,1,1,1,1
7,4.170904,4.140029,3.974394,3.736398,3.664586,3.585455,3.588864,3.406849,3.34785,3.331364,3.371048,3.303686,3.268046,3.249221,3.258786,3.188944,3.043631,3.028458,3.001851,3.001152,3.051745,2.905518,2.880185,2.886041,2.860779,2.659162,2.638951,2.54463,2.616982,2.466896,2.590029,2.556891,2.402404,2.309538,2.282498,2.208653,2.181436,2.283625,2.283625,2.424794,2.371161,2.300266,2.13581,2.583273,2.495151,2.36789,2.313765,2.166617,2.108529,2.036798,2.037144,2.130528,2.105232,2.105231,2.009898,2.054316,2.134796,2.226998,2.119124,2,2.113954,2.121879,2,2.113069,2,2.130822,2.00282,1,1,1,1,1,1
8,4.170904,4.14003,3.974397,3.736398,3.664587,3.585455,3.588864,3.406848,3.34785,3.331364,3.371048,3.303689,3.268048,3.24922,3.258783,3.188945,3.04363,3.028457,3.001852,3.001152,3.051746,2.905516,2.880184,2.886043,2.860779,2.659163,2.638957,2.544636,2.61698,2.466899,2.590029,2.55689,2.402402,2.30954,2.282501,2.208657,2.18144,2.283624,2.283624,2.424794,2.371161,2.300267,2.13581,2.583273,2.495151,2.36789,2.313766,2.166617,2.108528,2.036798,2.037143,2.130528,2.105232,2.105232,2.009898,2.054316,2.134796,2.226997,2.119123,2,2.113953,2.121879,2,2.113068,2,2.130826,2.00282,1,1,1,1,1,1
9,4.170904,4.140032,3.974399,3.7364,3.66459,3.585454,3.588866,3.406849,3.347851,3.331365,3.371049,3.303693,3.268051,3.249219,3.258781,3.188945,3.04363,3.028456,3.001851,3.001152,3.051747,2.905515,2.880184,2.886046,2.86078,2.659164,2.638963,2.544642,2.616979,2.466902,2.59003,2.556889,2.402402,2.309543,2.282505,2.208661,2.181444,2.283625,2.283625,2.424795,2.371162,2.300267,2.135811,2.583276,2.495153,2.367892,2.313767,2.166618,2.108528,2.036798,2.037143,2.130529,2.105232,2.105232,2.009898,2.054316,2.134797,2.226996,2.119122,2,2.113953,2.121879,2,2.113068,2,2.13083,2.00282,1,1,1,1,1,1
10,4.170903,4.140033,3.974402,3.736402,3.664592,3.585455,3.588868,3.40685,3.347852,3.331366,3.37105,3.303698,3.268053,3.249218,3.258779,3.188946,3.043629,3.028456,3.001851,3.001152,3.051749,2.905514,2.880185,2.886049,2.860782,2.659167,2.638969,2.544648,2.616978,2.466905,2.590032,2.556888,2.402402,2.309546,2.28251,2.208665,2.181448,2.283626,2.283626,2.424797,2.371164,2.300269,2.135813,2.583279,2.495156,2.367895,2.31377,2.16662,2.108528,2.036798,2.037143,2.13053,2.105233,2.105234,2.009898,2.054316,2.134797,2.226996,2.119122,2,2.113953,2.12188,2,2.113069,2,2.130834,2.00282,1,1,1,1,1,1
