EwEVersion,"6.6.7.17812 (compiled 28/02/2022)"
Date,"26/02/2023 11:47:50 AM"
ModelName,CS_model_V1_110722
EcosimScenario,"New Ecosim scenario"
TimeSeries,(none)
StartYear,2020

Data,"PredationMortality of Cormorants"

year\group,"Australian Sea Lion",
2020,0.006016333
2021,0.006016187
2022,0.006016702
2023,0.006016871
2024,0.006016346
2025,0.006015602
2026,0.00601562
2027,0.006016613
2028,0.006017465
2029,0.006017245
2030,0.006016491
2031,0.006016241
2032,0.006016643
2033,0.006017009
2034,0.006016649
2035,0.00601582
2036,0.006015595
2037,0.006016108
2038,0.006016228
2039,0.006015591
2040,0.006015049
2041,0.006015045
2042,0.006015367
2043,0.006015581
2044,0.006015097
2045,0.006014371
2046,0.006014633
2047,0.006015324
2048,0.006015074
2049,0.006014511
2050,0.006014472
2051,0.006014515
2052,0.006014809
2053,0.006015183
2054,0.006014475
2055,0.006013834
2056,0.006014759
2057,0.006015206
2058,0.006014337
2059,0.006014346
2060,0.006014636
2061,0.006014112
2062,0.006014749
2063,0.006015378
2064,0.006013785
2065,0.006013657
2066,0.006015587
2067,0.00601474
2068,0.006013526
2069,0.006015142
2070,0.006014627
2071,0.006013172
2072,0.006015608
2073,0.006015595
2074,0.006012181
2075,0.006014472
2076,0.006016896
2077,0.006012694
2078,0.006013347
2079,0.006017353
2080,0.006012719
2081,0.006012056
2082,0.00601874
2083,0.006013788
2084,0.006009372
2085,0.006018536
2086,0.006016476
2087,0.006007755
2088,0.006016847
2089,0.006019292
2090,0.006006055
2091,0.006013736
2092,0.006024135
2093,0.006005209
2094,0.006007089
2095,0.006028828
2096,0.006007059
2097,0.005999268
2098,0.006030886
2099,0.006010969
2100,0.005990912
2101,0.006027253
2102,0.006020744
2103,0.005983518
2104,0.006010564
2105,0.006038579
2106,0.005980108
2107,0.00598008
2108,0.006061065
2109,0.005990234
2110,0.00593841
2111,0.006037887
2112,0.00601572
2113,0.005963766
2114,0.006011753
2115,0.006040543
2116,0.005993657
2117,0.005980627
2118,0.006057819
2119,0.006008897
