EwEVersion,"6.6.7.17812 (compiled 28/02/2022)"
Date,"26/02/2023 11:47:52 AM"
ModelName,CS_model_V1_110722
EcosimScenario,"New Ecosim scenario"
TimeSeries,(none)
StartYear,2020

Data,CatchFleetGroup

year,fleet,group,value
2034,1,22,0.09000858
2034,2,7,0.003000401
2034,3,15,0.03840774
2034,3,20,0.03839986
2034,3,41,0.1230011
2034,3,45,0.03071312
2035,1,22,0.09000796
2035,2,7,0.003000361
2035,3,15,0.03840894
2035,3,20,0.0384034
2035,3,41,0.1229996
2035,3,45,0.03071406
2036,1,22,0.09000951
2036,2,7,0.003000547
2036,3,15,0.03840967
2036,3,20,0.03840281
2036,3,41,0.1229899
2036,3,45,0.03071316
2037,1,22,0.09001106
2037,2,7,0.003000637
2037,3,15,0.03840923
2037,3,20,0.0384005
2037,3,41,0.1229856
2037,3,45,0.03071317
2038,1,22,0.09000968
2038,2,7,0.003000351
2038,3,15,0.0384085
2038,3,20,0.03840157
2038,3,41,0.1229925
2038,3,45,0.0307137
2039,1,22,0.09001065
2039,2,7,0.003000327
2039,3,15,0.03840796
2039,3,20,0.03840132
2039,3,41,0.1229999
2039,3,45,0.03071273
2040,1,22,0.09001324
2040,2,7,0.003000639
2040,3,15,0.03840865
2040,3,20,0.03840053
2040,3,41,0.1229964
2040,3,45,0.03071321
2041,1,22,0.09001162
2041,2,7,0.003000565
2041,3,15,0.03841009
2041,3,20,0.03840356
2041,3,41,0.1229871
2041,3,45,0.03071469
2042,1,22,0.09001134
2042,2,7,0.003000404
2042,3,15,0.03840944
2042,3,20,0.03840269
2042,3,41,0.1229855
2042,3,45,0.030713
2043,1,22,0.09001482
2043,2,7,0.003000562
2043,3,15,0.03840763
2043,3,20,0.03839809
2043,3,41,0.1229934
2043,3,45,0.03071208
2044,1,22,0.09001351
2044,2,7,0.003000447
2044,3,15,0.03840825
2044,3,20,0.03840148
2044,3,41,0.1229988
2044,3,45,0.03071457
2045,1,22,0.09001171
2045,2,7,0.003000333
2045,3,15,0.03840959
2045,3,20,0.03840509
2045,3,41,0.1229939
2045,3,45,0.03071403
2046,1,22,0.09001601
2046,2,7,0.003000744
2046,3,15,0.03840923
2046,3,20,0.03839993
2046,3,41,0.1229857
2046,3,45,0.03071204
2047,1,22,0.09001563
2047,2,7,0.003000663
2047,3,15,0.038409
2047,3,20,0.03839998
2047,3,41,0.1229857
2047,3,45,0.03071423
2048,1,22,0.09001163
2048,2,7,0.003000135
2048,3,15,0.03840876
2048,3,20,0.03840428
2048,3,41,0.122994
2048,3,45,0.03071419
2049,1,22,0.09001631
2049,2,7,0.003000501
2049,3,15,0.03840771
2049,3,20,0.03839955
2049,3,41,0.1229982
2049,3,45,0.03071139
2050,1,22,0.09001815
2050,2,7,0.003000844
2050,3,15,0.03840893
2050,3,20,0.03839958
2050,3,41,0.1229916
2050,3,45,0.03071427
2051,1,22,0.09001184
2051,2,7,0.003000293
2051,3,15,0.0384107
2051,3,20,0.03840701
2051,3,41,0.1229844
2051,3,45,0.03071572
2052,1,22,0.09001552
2052,2,7,0.003000422
2052,3,15,0.03840851
2052,3,20,0.03840049
2052,3,41,0.122987
2052,3,45,0.03071081
2053,1,22,0.09002066
2053,2,7,0.003000853
2053,3,15,0.03840708
2053,3,20,0.03839507
2053,3,41,0.1229948
2053,3,45,0.03071257
2054,1,22,0.09001257
2054,2,7,0.003000193
2054,3,15,0.0384096
2054,3,20,0.03840674
2054,3,41,0.1229965
2054,3,45,0.03071696
2055,1,22,0.0900138
2055,2,7,0.00300027
2055,3,15,0.0384096
2055,3,20,0.03840505
2055,3,41,0.1229902
2055,3,45,0.03071174
2056,1,22,0.09002312
2056,2,7,0.003001171
2056,3,15,0.03840807
2056,3,20,0.03839386
2056,3,41,0.1229843
2056,3,45,0.03071116
2057,1,22,0.09001433
2057,2,7,0.003000371
2057,3,15,0.03840976
2057,3,20,0.03840452
2057,3,41,0.1229874
2057,3,45,0.03071761
2058,1,22,0.09001083
2058,2,7,0.002999809
2058,3,15,0.03840896
2058,3,20,0.03840734
2058,3,41,0.1229957
2058,3,45,0.03071244
2059,1,22,0.09002481
2059,2,7,0.003001123
2059,3,15,0.03840655
2059,3,20,0.03839188
2059,3,41,0.1229961
2059,3,45,0.03070905
2060,1,22,0.09001791
2060,2,7,0.003000787
2060,3,15,0.03841021
2060,3,20,0.03840299
2060,3,41,0.1229878
2060,3,45,0.03071868
2061,1,22,0.09000721
2061,2,7,0.002999642
2061,3,15,0.03841148
2061,3,20,0.03841351
2061,3,41,0.1229842
2061,3,45,0.03071501
2062,1,22,0.09002469
2062,2,7,0.003001005
2062,3,15,0.03840612
2062,3,20,0.03839039
2062,3,41,0.1229899
2062,3,45,0.03070609
2063,1,22,0.09002332
2063,2,7,0.003001098
2063,3,15,0.03840775
2063,3,20,0.03839534
2063,3,41,0.1229953
2063,3,45,0.03071753
2064,1,22,0.09000377
2064,2,7,0.002999292
2064,3,15,0.03841211
2064,3,20,0.03841922
2064,3,41,0.1229941
2064,3,45,0.03071899
2065,1,22,0.09002212
2065,2,7,0.003000786
2065,3,15,0.03840746
2065,3,20,0.0383951
2065,3,41,0.1229882
2065,3,45,0.03070459
2066,1,22,0.09003073
2066,2,7,0.003001856
2066,3,15,0.03840736
2066,3,20,0.03838721
2066,3,41,0.1229843
2066,3,45,0.03071501
2067,1,22,0.09000169
2067,2,7,0.002999136
2067,3,15,0.03841287
2067,3,20,0.03842163
2067,3,41,0.1229896
2067,3,45,0.03072332
2068,1,22,0.09001576
2068,2,7,0.002999958
2068,3,15,0.03840713
2068,3,20,0.03840115
2068,3,41,0.1229973
2068,3,45,0.03070362
2069,1,22,0.09003937
2069,2,7,0.003002497
2069,3,15,0.03840486
2069,3,20,0.03837727
2069,3,41,0.1229933
2069,3,45,0.03071042
2070,1,22,0.09000316
2070,2,7,0.002999515
2070,3,15,0.03841481
2070,3,20,0.03842353
2070,3,41,0.1229848
2070,3,45,0.03072915
2071,1,22,0.09000516
2071,2,7,0.002999051
2071,3,15,0.0384104
2071,3,20,0.03841431
2071,3,41,0.1229867
2071,3,45,0.03070557
2072,1,22,0.09004728
2072,2,7,0.003002969
2072,3,15,0.03840172
2072,3,20,0.03836498
2072,3,41,0.1229927
2072,3,45,0.0307024
2073,1,22,0.09001016
2073,2,7,0.003000123
2073,3,15,0.03841316
2073,3,20,0.03841617
2073,3,41,0.1229938
2073,3,45,0.03073347
2074,1,22,0.0899907
2074,2,7,0.002997751
2074,3,15,0.03841413
2074,3,20,0.03843397
2074,3,41,0.1229928
2074,3,45,0.03071215
2075,1,22,0.09005199
2075,2,7,0.003003279
2075,3,15,0.03840096
2075,3,20,0.0383592
2075,3,41,0.1229878
2075,3,45,0.03069331
2076,1,22,0.09002492
2076,2,7,0.00300162
2076,3,15,0.03841182
2076,3,20,0.03840027
2076,3,41,0.122984
2076,3,45,0.03073505
2077,1,22,0.08997389
2077,2,7,0.002996251
2077,3,15,0.03841829
2077,3,20,0.03845502
2077,3,41,0.1229929
2077,3,45,0.0307232
2078,1,22,0.09004951
2078,2,7,0.003002581
2078,3,15,0.0383991
2078,3,20,0.03835959
2078,3,41,0.1229992
2078,3,45,0.03068336
2079,1,22,0.09004887
2079,2,7,0.003003793
2079,3,15,0.0384079
2079,3,20,0.03837453
2079,3,41,0.1229885
2079,3,45,0.03073206
2080,1,22,0.08995891
2080,2,7,0.002995285
2080,3,15,0.03842548
2080,3,20,0.03847884
2080,3,41,0.122984
2080,3,45,0.03074101
2081,1,22,0.09003551
2081,2,7,0.00300095
2081,3,15,0.03840151
2081,3,20,0.03837448
2081,3,41,0.1229927
2081,3,45,0.03067595
2082,1,22,0.09008097
2082,2,7,0.003006371
2082,3,15,0.03840025
2082,3,20,0.03833498
2082,3,41,0.1229929
2082,3,45,0.03072046
2083,1,22,0.08995193
2083,2,7,0.002994915
2083,3,15,0.03843025
2083,3,20,0.03849396
2083,3,41,0.1229917
2083,3,45,0.0307637
2084,1,22,0.09000632
