EwEVersion,"6.6.7.17812 (compiled 28/02/2022)"
Date,"26/02/2023 11:47:51 AM"
ModelName,CS_model_V1_110722
EcosimScenario,"New Ecosim scenario"
TimeSeries,(none)
StartYear,2020

Data,FeedingTime

timestep\group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73
11,0.9997222,0.9997,0.9999385,0.9999441,0.999764,0.9997595,0.999817,0.9997497,0.9998447,1.000162,0.9997534,1.000017,1.000192,0.9999286,0.9997342,1.000023,0.999781,0.9997433,0.999802,0.9998479,0.9998424,1.000073,0.9999602,1.000189,1.000133,1.000057,0.9997675,0.9999014,0.99958,0.9998117,0.9999582,0.9999582,0.9999419,0.999837,0.9996064,0.999823,0.9996514,0.9999728,1.000007,1.000001,0.9997967,1.000051,0.9996766,0.9997479,0.9997298,0.9999002,0.999845,0.9996305,1.000046,0.9996521,0.9998626,1.000132,0.999979,0.9996886,0.9999352,1.0001,1.000217,0.9999496,0.9999106,0.9996176,1.000047,1.000049,0.9997199,1.00012,0.9998524,1,0.9998657,1,1,1,1,1,1
12,0.9997191,0.9996916,0.999941,0.9999501,0.9997563,0.9997567,0.9998218,0.9997458,0.9998473,1.00017,0.9997538,1.000037,1.000196,0.999924,0.9997216,1.000033,0.9997641,0.9997181,0.9997853,0.9998339,0.9998463,1.000078,0.9999614,1.00018,1.000115,1.000034,0.9997435,0.9998738,0.9995617,0.9997993,0.9999534,0.9999528,0.9999391,0.9998325,0.999588,0.9998119,0.9996483,0.9999744,1.000012,1.000005,0.9997959,1.000051,0.9996765,0.9997368,0.9997206,0.9998971,0.9998317,0.9996061,1.000047,0.9996472,0.9998633,1.00012,0.9999811,0.9996913,0.9999403,1.00009,1.000226,0.9999427,0.9999191,0.9996027,1.000044,1.000044,0.9997256,1.000125,0.9998671,1,0.9998798,1,1,1,1,1,1
13,0.9997174,0.9996849,0.9999437,0.9999567,0.99975,0.9997558,0.9998283,0.9997439,0.999852,1.000179,0.9997569,1.000056,1.000198,0.9999171,0.99971,1.00004,0.9997463,0.9996914,0.9997672,0.9998176,0.9998516,1.000081,0.9999627,1.000167,1.000093,1.00001,0.9997203,0.9998484,0.9995461,0.9997878,0.9999471,0.9999495,0.9999369,0.9998296,0.9995716,0.9998033,0.9996489,0.9999743,1.000015,1.000008,0.999795,1.000049,0.9996793,0.9997261,0.9997119,0.9998959,0.9998195,0.9995833,1.000047,0.9996451,0.9998682,1.000107,0.9999837,0.9996968,0.9999475,1.000079,1.000233,0.9999366,0.9999279,0.9995924,1.000042,1.000038,0.9997337,1.000129,0.9998825,1,0.9998947,1,1,1,1,1,1
14,0.9997171,0.9996797,0.9999468,0.9999641,0.9997451,0.9997565,0.9998362,0.9997437,0.9998587,1.000189,0.9997627,1.000073,1.000199,0.9999083,0.9996996,1.000046,0.999728,0.9996634,0.9997482,0.9997998,0.9998582,1.000084,0.999964,1.000151,1.000069,0.999988,0.9996988,0.9998259,0.999533,0.9997777,0.9999397,0.9999484,0.9999357,0.9998288,0.9995572,0.9997972,0.9996529,0.9999726,1.000017,1.000009,0.9997941,1.000045,0.999685,0.9997159,0.9997039,0.9998966,0.999809,0.9995619,1.000047,0.9996455,0.9998775,1.000094,0.9999867,0.9997043,0.9999568,1.000068,1.000239,0.999931,0.9999367,0.9995862,1.000039,1.000032,0.999744,1.000132,0.9998981,1,0.9999102,1,1,1,1,1,1
15,0.9997177,0.9996758,0.9999502,0.999972,0.9997414,0.9997588,0.9998453,0.9997454,0.9998676,1.0002,0.9997709,1.000088,1.000199,0.9998981,0.9996904,1.000049,0.9997094,0.9996343,0.9997286,0.999781,0.9998659,1.000086,0.9999658,1.000133,1.000044,0.9999672,0.9996799,0.9998073,0.9995224,0.9997692,0.9999319,0.9999498,0.9999354,0.9998299,0.999545,0.9997939,0.9996599,0.9999695,1.000017,1.000007,0.999793,1.000039,0.9996934,0.9997067,0.9996969,0.9998993,0.9998003,0.999542,1.000047,0.9996482,0.9998913,1.000081,0.9999901,0.9997134,0.9999676,1.000057,1.000243,0.999926,0.9999452,0.999584,1.000036,1.000025,0.9997555,1.000135,0.9999133,1,0.9999257,1,1,1,1,1,1
16,0.9997192,0.9996728,0.9999537,0.9999807,0.9997389,0.9997626,0.9998553,0.9997489,0.9998785,1.000213,0.9997814,1.000101,1.000198,0.9998868,0.9996828,1.000052,0.9996906,0.9996043,0.9997091,0.9997619,0.9998747,1.000088,0.9999679,1.000114,1.00002,0.999949,0.9996644,0.9997931,0.9995142,0.9997627,0.9999241,0.9999533,0.9999362,0.9998332,0.999535,0.9997933,0.99967,0.9999648,1.000015,1.000004,0.9997913,1.000031,0.9997042,0.9996988,0.9996911,0.9999032,0.9997935,0.9995237,1.000047,0.999653,0.9999091,1.000068,0.9999935,0.9997239,0.9999797,1.000045,1.000247,0.9999216,0.9999526,0.9995859,1.000033,1.000019,0.9997678,1.000137,0.9999279,1,0.9999406,1,1,1,1,1,1
17,0.9997213,0.9996708,0.9999574,0.9999898,0.9997376,0.9997678,0.9998659,0.9997541,0.9998915,1.000228,0.9997937,1.000111,1.000197,0.9998749,0.9996768,1.000053,0.9996719,0.9995737,0.9996899,0.9997429,0.9998844,1.00009,0.9999704,1.000094,0.999997,0.999934,0.9996524,0.9997831,0.9995082,0.9997583,0.9999169,0.999959,0.9999378,0.9998384,0.9995272,0.9997951,0.9996827,0.9999586,1.000011,0.9999983,0.999789,1.000023,0.9997171,0.9996923,0.9996865,0.999908,0.9997885,0.9995069,1.000046,0.9996595,0.9999306,1.000056,0.9999967,0.9997349,0.9999925,1.000034,1.000249,0.9999175,0.9999587,0.9995914,1.000031,1.000012,0.9997803,1.000138,0.9999412,1,0.9999546,1,1,1,1,1,1
18,0.9997237,0.9996694,0.9999613,0.9999995,0.9997374,0.9997742,0.9998769,0.9997606,0.9999063,1.000244,0.9998078,1.000119,1.000194,0.999863,0.9996723,1.000052,0.9996535,0.9995428,0.9996716,0.9997247,0.999895,1.000092,0.9999733,1.000074,0.9999761,0.9999223,0.9996444,0.9997774,0.9995044,0.9997563,0.9999101,0.9999665,0.9999403,0.9998455,0.9995217,0.9997993,0.9996979,0.999951,1.000006,0.999991,0.9997858,1.000012,0.9997318,0.9996874,0.9996834,0.9999135,0.9997853,0.9994916,1.000045,0.9996675,0.9999557,1.000045,0.9999996,0.9997462,1.000006,1.000023,1.000251,0.9999136,0.9999632,0.9996005,1.000028,1.000005,0.9997926,1.000139,0.9999532,1,0.9999675,1,1,1,1,1,1
19,0.9997262,0.9996684,0.9999651,1.00001,0.9997382,0.9997814,0.9998882,0.9997687,0.9999228,1.000262,0.9998235,1.000125,1.000191,0.9998513,0.9996696,1.000051,0.9996356,0.999512,0.9996547,0.9997079,0.9999065,1.000094,0.9999766,1.000054,0.9999578,0.9999142,0.9996408,0.9997759,0.9995025,0.9997564,0.9999043,0.9999754,0.9999436,0.9998545,0.9995183,0.9998055,0.9997153,0.999942,0.9999997,0.9999819,0.9997817,1,0.9997482,0.9996843,0.9996819,0.9999194,0.9997839,0.9994776,1.000044,0.9996768,0.9999832,1.000034,1.000002,0.9997575,1.000018,1.000012,1.000251,0.9999099,0.999966,0.9996125,1.000025,0.9999979,0.9998043,1.000139,0.9999635,1,0.9999787,1,1,1,1,1,1
20,0.9997285,0.9996678,0.999969,1.00002,0.9997399,0.9997896,0.9998992,0.9997781,0.9999408,1.00028,0.9998403,1.000127,1.000187,0.9998403,0.9996687,1.000049,0.9996186,0.9994813,0.9996395,0.9996929,0.9999187,1.000095,0.9999801,1.000034,0.9999428,0.9999098,0.9996414,0.9997782,0.9995024,0.9997588,0.9998997,0.9999853,0.9999475,0.999865,0.999517,0.9998133,0.9997345,0.9999316,0.9999915,0.9999709,0.9997767,0.9999876,0.9997658,0.9996834,0.9996822,0.9999253,0.9997839,0.9994652,1.000042,0.9996871,1.000013,1.000024,1.000004,0.9997684,1.00003,1.000002,1.00025,0.9999061,0.9999668,0.9996272,1.000022,0.9999905,0.9998149,1.000139,0.9999722,1,0.9999881,1,1,1,1,1,1
