EwEVersion,"6.6.7.17812 (compiled 28/02/2022)"
Date,"26/02/2023 11:47:52 AM"
ModelName,CS_model_V1_110722
EcosimScenario,"New Ecosim scenario"
TimeSeries,(none)
StartYear,2020

Data,CatchFleetGroup

timestep,fleet,group,value
1,1,22,0.007500088
1,2,7,0.0002499994
1,3,15,0.003200004
1,3,20,0.003199993
1,3,41,0.01024993
1,3,45,0.00255835
2,1,22,0.007500037
2,2,7,0.0002500007
2,3,15,0.003200011
2,3,20,0.003199993
2,3,41,0.0102499
2,3,45,0.002558367
3,1,22,0.007499994
3,2,7,0.0002500021
3,3,15,0.00320002
3,3,20,0.003199994
3,3,41,0.01024987
3,3,45,0.002558385
4,1,22,0.007499959
4,2,7,0.0002500034
4,3,15,0.00320003
4,3,20,0.003199995
4,3,41,0.01024984
4,3,45,0.002558406
5,1,22,0.00749993
5,2,7,0.0002500048
5,3,15,0.003200042
5,3,20,0.003199997
5,3,41,0.01024981
5,3,45,0.002558427
6,1,22,0.007499907
6,2,7,0.0002500061
6,3,15,0.003200054
6,3,20,0.003199999
6,3,41,0.01024979
6,3,45,0.00255845
7,1,22,0.007499887
7,2,7,0.0002500073
7,3,15,0.003200069
7,3,20,0.003200001
7,3,41,0.01024976
7,3,45,0.002558474
8,1,22,0.007499872
8,2,7,0.0002500085
8,3,15,0.003200084
8,3,20,0.003200004
8,3,41,0.01024973
8,3,45,0.002558498
9,1,22,0.007499859
9,2,7,0.0002500096
9,3,15,0.003200101
9,3,20,0.003200008
9,3,41,0.01024969
9,3,45,0.002558524
10,1,22,0.007499848
10,2,7,0.0002500107
10,3,15,0.003200118
10,3,20,0.003200013
10,3,41,0.01024966
10,3,45,0.00255855
11,1,22,0.00749984
11,2,7,0.0002500116
11,3,15,0.003200136
11,3,20,0.003200021
11,3,41,0.01024963
11,3,45,0.002558578
12,1,22,0.007499831
12,2,7,0.0002500124
12,3,15,0.003200155
12,3,20,0.00320003
12,3,41,0.01024959
12,3,45,0.002558606
13,1,22,0.007499825
13,2,7,0.000250013
13,3,15,0.003200175
13,3,20,0.003200042
13,3,41,0.01024955
13,3,45,0.002558635
14,1,22,0.007499817
14,2,7,0.0002500135
14,3,15,0.003200196
14,3,20,0.003200055
14,3,41,0.01024951
14,3,45,0.002558664
15,1,22,0.00749981
15,2,7,0.0002500138
15,3,15,0.003200217
15,3,20,0.003200071
15,3,41,0.01024947
15,3,45,0.002558694
16,1,22,0.007499803
16,2,7,0.0002500139
16,3,15,0.003200239
16,3,20,0.003200089
16,3,41,0.01024943
16,3,45,0.002558725
17,1,22,0.007499796
17,2,7,0.0002500137
17,3,15,0.00320026
17,3,20,0.003200109
17,3,41,0.01024938
17,3,45,0.002558756
18,1,22,0.007499789
18,2,7,0.0002500135
18,3,15,0.003200282
18,3,20,0.003200131
18,3,41,0.01024934
18,3,45,0.002558787
19,1,22,0.007499782
19,2,7,0.000250013
19,3,15,0.003200304
19,3,20,0.003200154
19,3,41,0.01024929
19,3,45,0.002558817
20,1,22,0.007499775
20,2,7,0.0002500123
20,3,15,0.003200325
