EwEVersion,"6.6.7.17812 (compiled 28/02/2022)"
Date,"26/02/2023 11:47:52 AM"
ModelName,CS_model_V1_110722
EcosimScenario,"New Ecosim scenario"
TimeSeries,(none)
StartYear,2020

Data,KemptonsQ

year,value
2020,3.327342
2021,3.327252
2022,3.327101
2023,3.327008
2024,3.326999
2025,3.327009
2026,3.32704
2027,3.327085
2028,3.327083
2029,3.32706
2030,3.327068
2031,3.327066
2032,3.327069
2033,3.327121
2034,3.327123
2035,3.327065
2036,3.327089
2037,3.327137
2038,3.327106
2039,3.327115
2040,3.327153
2041,3.327096
2042,3.327101
2043,3.327196
2044,3.327138
2045,3.327069
2046,3.327184
2047,3.327182
2048,3.327077
2049,3.327187
2050,3.327212
2051,3.327045
2052,3.327166
2053,3.327295
2054,3.327055
2055,3.327084
2056,3.327338
2057,3.327106
2058,3.32702
2059,3.327376
2060,3.327166
2061,3.326902
2062,3.327391
2063,3.327324
2064,3.32679
2065,3.327296
2066,3.327512
2067,3.32674
2068,3.327139
2069,3.327729
2070,3.326736
2071,3.326846
2072,3.327966
2073,3.326911
2074,3.326424
2075,3.328077
2076,3.327281
2077,3.325962
2078,3.328015
2079,3.327868
2080,3.325488
2081,3.327626
2082,3.328709
2083,3.325209
2084,3.326758
2085,3.329636
2086,3.325331
2087,3.325392
2088,3.330456
2089,3.32606
2090,3.323496
2091,3.330796
2092,3.32767
2093,3.321298
2094,3.330067
2095,3.330199
2096,3.319259
2097,3.327671
2098,3.333468
2099,3.318046
2100,3.322945
2101,3.336799
2102,3.318684
2103,3.315584
2104,3.338589
2105,3.322263
2106,3.306209
2107,3.336177
2108,3.329633
2109,3.296736
2110,3.323355
2111,3.340058
2112,3.301291
2113,3.310553
2114,3.344338
2115,3.311629
2116,3.301036
2117,3.34199
2118,3.32465
2119,3.296862
