EwEVersion,"6.6.7.17812 (compiled 28/02/2022)"
Date,"26/02/2023 11:47:50 AM"
ModelName,CS_model_V1_110722
EcosimScenario,"New Ecosim scenario"
TimeSeries,(none)
StartYear,2020

Data,"PredationMortality of Australian Pelican"

year\group,"Australian Sea Lion",
2020,0.0123493
2021,0.01234891
2022,0.01235034
2023,0.0123514
2024,0.01235039
2025,0.01234811
2026,0.01234766
2027,0.01235006
2028,0.01235223
2029,0.01235148
2030,0.01234934
2031,0.01234876
2032,0.01235016
2033,0.01235133
2034,0.01235016
2035,0.01234772
2036,0.01234736
2037,0.01234915
2038,0.01234961
2039,0.01234782
2040,0.01234625
2041,0.01234635
2042,0.01234762
2043,0.01234838
2044,0.01234677
2045,0.01234474
2046,0.01234578
2047,0.01234778
2048,0.01234708
2049,0.01234554
2050,0.01234526
2051,0.01234545
2052,0.01234673
2053,0.01234763
2054,0.01234523
2055,0.01234375
2056,0.01234657
2057,0.01234753
2058,0.01234531
2059,0.01234544
2060,0.0123457
2061,0.01234459
2062,0.01234701
2063,0.01234797
2064,0.01234328
2065,0.01234388
2066,0.01234883
2067,0.01234596
2068,0.01234361
2069,0.01234771
2070,0.0123452
2071,0.01234263
2072,0.01234976
2073,0.01234771
2074,0.01233926
2075,0.01234711
2076,0.01235147
2077,0.01234026
2078,0.01234462
2079,0.01235281
2080,0.01233939
2081,0.01234173
2082,0.01235768
2083,0.01234129
2084,0.01233402
2085,0.01235871
2086,0.01234806
2087,0.0123288
2088,0.01235654
2089,0.01235503
2090,0.01232229
2091,0.01235175
2092,0.01236846
2093,0.01231732
2094,0.01233703
2095,0.01238279
2096,0.01232038
2097,0.01231785
2098,0.0123929
2099,0.0123296
2100,0.01229342
2101,0.01239475
2102,0.01235516
2103,0.01226617
2104,0.01237117
2105,0.0124005
2106,0.01224797
2107,0.01231782
2108,0.01245742
2109,0.01225799
2110,0.01223123
2111,0.01244888
2112,0.01232507
2113,0.01224057
2114,0.01241449
2115,0.01239592
2116,0.01226231
2117,0.0123576
2118,0.01245325
2119,0.01227252
