,Prey \ predator,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67
44,Other crabs,0,0,0,0.000723391,0,0.006217787,0,0,0,0,0,0,0.02003753,0,0,0,6.04E-05,0.001040914,0.000620775,0,0,0.00112453,0,0,0,0.000949668,0,0.000800863,0,0.000116559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,Blue Swimmer Crab,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001210361,0.005416753,0,0,0,0.00112453,0,0,0,0,0,0.001340887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,Mantis shrimp,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002283584,0,0.000148625,0,0,0,0.000627209,0,0,0,0,0,0,0,0,0,0,0,0,0.001260158,0,0.000122026,0.000632214,0,0,0,0,0,0,0,0.001069293,0,0,0,0,0,0.001004045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,Seastars,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004008957,0,0,0.007025742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001002262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,Migratory waders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,Seahorses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02068577,0,0,0,0,0,0.000171601,0,0.000169176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,Mullets,0,0,0,0.000600439,0.02729158,0.01031288,0.01064225,0.03078059,0,0,0,0,0,0.01074501,0,0.1119588,0.0101635,0,0,0,0,0.0112453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,Rabbitfish,0,0,0,0,0,0.02302578,0,0.01296915,0,0,0,0.01685744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0323076,0,0,0,0,0.03758789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,Introduced species,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,Western King Prawn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000112453,0.001319659,0.00010196,0,0.000949668,0,0,0.001032578,0,0,0,0,0,0,0.004405579,0,0,0,0,0,0,0,0,0.001063986,0.00091219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
